upload_asset,role,audited_source_asset,source_width_mm,source_height_mm,upload_width_mm,upload_height_mm,scale_factor,embedded_rasters,minimum_effective_raster_dpi,sha256,bytes
journal_upload_figures/figure01_framework_overview.pdf,main Figure 1; generated framework and application overview,figures/figure01_framework_overview.pdf,415.44,240.65,170.00,98.48,0.40920538,none (vector-only),not applicable,ed8d87cf760f927e2af144d948d4f1c494d2df337e6db87d1f2a2fd214636e71,48954
journal_upload_figures/figure01_repaired_dtu_landscape.pdf,retained audited asset; not displayed in the revised paper,figures/figure01_repaired_dtu_landscape.pdf,182.74,157.34,170.00,146.37,0.93028912,none (vector-only),not applicable,fbdc170823c112ebf466ffa84d50627a62778e334500e657c887763417a3e1b6,40902
journal_upload_figures/figure02_repaired_temporal_dtu.pdf,main Figure 3,figures/figure02_repaired_temporal_dtu.pdf,233.54,177.80,170.00,129.43,0.72793016,/x9 303x3 px at 22.4x13.3 mm (343 effective dpi; one-dimensional horizontal gradient; all raster rows are identical),343.4,c23415eae09d70aa092db397addac287e3687fcdf5ad9ac6e7ded90bf66fb0bb,58706
journal_upload_figures/figure03_repaired_transient_episodes.pdf,supplementary Figure S3 composite of existing assets,figures/figure03_repaired_transient_episodes.pdf,182.88,185.09,170.00,172.05,0.92957130,none (vector-only),not applicable,88bd046162ab01b28b5abf9d3c8436dc80b57a882147a5ec222654752cad5731,156131
journal_upload_figures/figure04_repaired_candidate_mechanism.pdf,main Figure 6,figures/figure04_repaired_candidate_mechanism.pdf,182.73,161.29,170.00,150.06,0.93034659,none (vector-only),not applicable,ef37c2fb385b6a4a8832712f57f9d8f8f9db1d6495d12be16769a4c5616ec610,95556
journal_upload_figures/figure05_repaired_methylation_audit.pdf,retained audited asset; not displayed in the revised paper,figures/figure05_repaired_methylation_audit.pdf,248.28,204.38,170.00,139.94,0.68470980,/I1 982x888 px at 56.9x51.5 mm (438 effective dpi; two-dimensional raster),438.1,9dce53d9e17b4a810354f93f5cea47ebe3df4512708bdad404c1c968ac0340e1,450609
journal_upload_figures/figure06_repaired_gnao1.pdf,main Figure 9,figures/figure06_repaired_gnao1.pdf,234.19,232.84,170.00,169.02,0.72591251,none (vector-only),not applicable,99e7993daa36088607d3fe8448db3e91065234320a01038cc96bf447933f4888,85512
journal_upload_figures/figure07_repaired_taok3.pdf,retained audited asset; not displayed in the revised paper,figures/figure07_repaired_taok3.pdf,263.47,219.85,170.00,141.85,0.64522965,none (vector-only),not applicable,5be24779db0616c736f64bac6e8497efdfcda56d93a1fd3c9814dac35532bd4c,76024
journal_upload_figures/figure08_repaired_archived_robustness.pdf,retained audited asset; not displayed in the revised paper,figures/figure08_repaired_archived_robustness.pdf,273.40,140.39,170.00,87.30,0.62180277,/I1 31x617 px at 1.6x32.5 mm (482 effective dpi; two-dimensional raster),482.5,f22b9997ad9939bce0e6659a0eae8ad4a38880903053cf322deb37a5c456ec5f,152276
journal_upload_figures/figureS1_repaired_sample_pca.pdf,retained audited asset; not displayed in the revised paper,figures/figureS1_repaired_sample_pca.pdf,182.74,136.88,170.00,127.34,0.93028912,none (vector-only),not applicable,7358c2167b54e6fb761c47ac91130702009516bf3a9f9c54be730e41b4bc76de,46134
journal_upload_figures/figureS2_repaired_thresholds.pdf,supplementary Figure S1,figures/figureS2_repaired_thresholds.pdf,210.61,131.94,170.00,106.50,0.80718553,none (vector-only),not applicable,9be1229cc5ace2351aef3084059ac3661e88ccead46eaf4294586f6504798c51,48693
journal_upload_figures/figureS3_repaired_splicing_architecture.pdf,retained audited asset; not displayed in the revised paper,figures/figureS3_repaired_splicing_architecture.pdf,182.74,121.71,170.00,113.22,0.93028912,none (vector-only),not applicable,cd8b0c78ddddda5d310589458bb550f7cdcadfd18360d620490b675a2bcbc644,39695
journal_upload_figures/figureS4_repaired_go_enrichment.pdf,supplementary Figure S2,figures/figureS4_repaired_go_enrichment.pdf,233.54,152.40,170.00,110.94,0.72793016,/x10 303x3 px at 22.4x13.3 mm (343 effective dpi; one-dimensional horizontal gradient; all raster rows are identical),343.4,0cd53bedbd69b8d74eee084a91d7a7352c67f64b0fc5e0678c87b0b230793797,57848
journal_upload_figures/figureS5_repaired_e155_artifact.pdf,retained analysis asset; not displayed in the revised paper,figures/figureS5_repaired_e155_artifact.pdf,233.54,121.71,170.00,88.60,0.72793016,none (vector-only),not applicable,4753d012ccbd6b54af50c23320f7f8758c848e4e80d49c9eb2cc3ac69b9168ed,82733
journal_upload_figures/figureS6_repaired_calibrated_candidates.pdf,main Figure 5; trajectory panel only,figures/figureS6_repaired_calibrated_candidates.pdf,182.74,136.88,170.00,127.34,0.93028912,none (vector-only),not applicable,2695c2440b3a48b04f349a0889cae3ea36fd1f876e0c28d7470361e8870c67ec,91050
journal_upload_figures/figure_thesis_dtu_upset.pdf,supplementary Figure S4,figures/figure_thesis_dtu_upset.pdf,201.08,118.53,170.00,100.21,0.84542064,none (vector-only),not applicable,7bd09af11d4d478ad1bc4cdce605ec6e7f7c849ed2a8998c30c12d2ae9082213,31608
