"gene_id","Forebrain","Hindbrain","Midbrain","membership"
"1500011B03Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"1600012H06Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"1600020E01Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"1700020I14Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"1700021K19Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"1700086O06Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"1810032O08Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"2010111I01Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"2310022A10Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"2310035C23Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"2700097O09Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"2900079G21Rik",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"3110039I08Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"3110062M04Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"3830406C13Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"4833439L19Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"4930526I15Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"4931406C07Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"5430405H02Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"6030458C11Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"6430548M08Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"9330179D12Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"9430015G10Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"9930012K11Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"A330009N23Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"A730017C20Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"A930005H10Rik",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Abat",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Abcc5",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Abhd14a",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Abhd4",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Abi1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Abi2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Abl1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Ablim1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Acbd5",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Acin1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Acly",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Acp1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Acsl6",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Actr3",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Acvrl1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Adam11",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Adam15",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Adck1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Adcyap1r1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Add1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Add3",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Adgre5",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Adk",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Aen",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Agap1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Agap3",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Agfg2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Ahcyl2",TRUE,TRUE,FALSE,"Forebrain + Hindbrain"
"AI854517",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"AI987944",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Aifm1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Aifm2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Aimp2",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Aip",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Airn",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Ak1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Ak4",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Akt1s1",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Alg13",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
"Alox5ap",TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain"
