"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","group","GeneFraction","BackgroundFraction","enrichment"
"GO:0016358","dendrite development","80/1752","321/18346",0.249221183800623,2.6097099531999,9.45394072476834,5.04865937044719e-16,2.96305818451545e-12,2.5142323664827e-12,"Abi1/Abi2/Abl1/Actr3/Ankrd27/App/Arhgap33/Asap1/Baiap2/Btbd3/Caprin1/Cask/Cdc42/Cdkl3/Celsr2/Clip1/Cntnap2/Crk/Ctnna2/Dab2ip/Dcx/Dnm1l/Dvl1/Dynlt1f/Elavl4/Ephb1/Igsf9/Iqsec1/Map6/Mef2a/Mfn2/Mink1/Nsmf/Ntrk2/Numb/Opa1/Ppp3ca/Ptprs/Rbfox2/Sh3glb1/Slc11a2/Spire1/Stau2/Taok2/Tsc2/Ube3a/Zmynd8/Bcl11a/Grip1/Kif1a/Pafah1b1/Pak3/Pdlim5/Tnik/Wasl/Ache/Arhgap44/Camk2b/Dclk1/Grin1/Sez6/Tbc1d24/Rapgef4/Sgk1/Dnm3/Hdac6/Picalm/Ezh2/Lzts3/Nfatc4/Cyfip1/Dynlt1c/Acsl4/Lpar1/Caprin2/Carm1/Sema4d/Tpbg/Dlg5/Sema3a",80,"Shared core",0.045662100456621,0.0174970020712962,2.6097099531999
"GO:0050807","regulation of synapse organization","77/1752","306/18346",0.251633986928105,2.63497552750172,9.37139123715817,1.01903499197016e-15,2.99035818393644e-12,2.5373971300057e-12,"Abi2/Abl1/Actr3/Adgre5/Amigo2/App/Arhgap33/Asap1/Baiap2/Caprin1/Cask/Cdc42/Ctnna2/Dab2ip/Dctn1/Dnm1l/Dvl1/Eif4g1/Elavl2/Epha7/Ephb1/Flrt3/Gpm6a/Gripap1/Homer1/Igsf9/Mapk14/Mfn2/Nrcam/Ntrk2/Numb/Ogt/Opa1/Ptprs/Rbmx/Sema4a/Snap91/Stau2/Taok2/Tsc2/Ube3a/Zmynd8/Cdh8/Ctnnb1/Kif1a/Lrrtm4/Negr1/Pafah1b1/Pak3/Pdlim5/Wasl/Arhgap44/Asic2/Camk2b/Grin1/Il1rap/Magi2/Nrp2/Amigo1/Clstn1/Efna5/Mark2/Rapgef4/Dnm3/Picalm/Lzts3/Nfatc4/Cyfip1/Hnrnpm/Slit2/Lrfn1/Caprin2/Sema4d/Tpbg/Dlg5/Pcdh8/Cln3",77,"Shared core",0.0439497716894977,0.0166793851520767,2.63497552750172
"GO:0048813","dendrite morphogenesis","56/1752","188/18346",0.297872340425532,3.11915865151074,9.48983707495523,3.78513720760102e-15,6.80555785525225e-12,5.7746938352626e-12,"Abi1/Abi2/Actr3/Ankrd27/Arhgap33/Baiap2/Btbd3/Caprin1/Cask/Cdc42/Cdkl3/Celsr2/Cntnap2/Ctnna2/Dcx/Dnm1l/Dvl1/Elavl4/Ephb1/Map6/Mef2a/Mfn2/Mink1/Nsmf/Numb/Opa1/Ppp3ca/Rbfox2/Sh3glb1/Slc11a2/Stau2/Taok2/Ube3a/Grip1/Kif1a/Pafah1b1/Pak3/Pdlim5/Tnik/Wasl/Ache/Arhgap44/Camk2b/Dclk1/Grin1/Tbc1d24/Sgk1/Dnm3/Hdac6/Picalm/Lzts3/Nfatc4/Caprin2/Sema4d/Tpbg/Sema3a",56,"Shared core",0.0319634703196347,0.0102474653875504,3.11915865151074
"GO:0050803","regulation of synapse structure or activity","77/1752","314/18346",0.245222929936306,2.56784239304307,9.10532902787515,4.63830830141574e-15,6.80555785525225e-12,5.7746938352626e-12,"Abi2/Abl1/Actr3/Adgre5/Amigo2/App/Arhgap33/Asap1/Baiap2/Caprin1/Cask/Cdc42/Ctnna2/Dab2ip/Dctn1/Dnm1l/Dvl1/Eif4g1/Elavl2/Epha7/Ephb1/Flrt3/Gpm6a/Gripap1/Homer1/Igsf9/Mapk14/Mfn2/Nrcam/Ntrk2/Numb/Ogt/Opa1/Ptprs/Rbmx/Sema4a/Snap91/Stau2/Taok2/Tsc2/Ube3a/Zmynd8/Cdh8/Ctnnb1/Kif1a/Lrrtm4/Negr1/Pafah1b1/Pak3/Pdlim5/Wasl/Arhgap44/Asic2/Camk2b/Grin1/Il1rap/Magi2/Nrp2/Amigo1/Clstn1/Efna5/Mark2/Rapgef4/Dnm3/Picalm/Lzts3/Nfatc4/Cyfip1/Hnrnpm/Slit2/Lrfn1/Caprin2/Sema4d/Tpbg/Dlg5/Pcdh8/Cln3",77,"Shared core",0.0439497716894977,0.0171154475089938,2.56784239304307
"GO:0031346","positive regulation of cell projection organization","93/1752","446/18346",0.208520179372197,2.18351096504699,8.22173672764872,2.80500049951579e-13,3.29250958633164e-10,2.79378049751773e-10,"Abi2/Abl1/Acsl6/Actr3/Ankrd27/Ap2a1/Apbb1/Arap1/Baiap2/Caprin1/Cask/Cdc42/Cdkl3/Clip1/Cxcl12/Dab2ip/Dcx/Ddr1/Dnm1l/Dpysl3/Dvl1/Dynlt1f/Elavl4/Fn1/Fnbp1l/Golga2/Gpm6a/Hap1/Hspa5/Itga3/Kctd17/Map6/Mdk/Mfn2/Nckap1/Nptn/Ntrk2/Numb/Opa1/Ptbp1/Ptpn5/Pum2/Rapgef1/Rufy3/Sh3glb1/Shox2/Skil/Snap91/Src/Stau2/Tenm3/Tsc2/Zfyve27/Zmynd8/Bcl11a/Def8/Gprc5b/Grip1/Mapt/Negr1/Pafah1b1/Pak3/Tmem67/Tnik/Wasl/Ache/Camk2b/Cflar/Fgfr1/Grin1/Islr2/Magi2/Shtn1/Tbc1d24/Amigo1/Efna5/Mark2/Sgk1/Dnm3/Itga6/Picalm/Ezh2/Ikbkb/Lyn/Cyfip1/Dynlt1c/Zeb2/Caprin2/Sema4d/S100a9/Vegfa/Kat2a/Sphk1",93,"Shared core",0.0530821917808219,0.0243104763981249,2.18351096504699
"GO:0099173","postsynapse organization","63/1752","251/18346",0.250996015936255,2.62829503902199,8.43997252405426,4.7314221867911e-13,4.62811946904616e-10,3.92708041503662e-10,"Abi2/Actr3/App/Arhgap33/Arhgap39/Arhgef7/Asap1/Baiap2/Cadm1/Caprin1/Cask/Cdc42/Cntnap2/Crk/Cttn/Dnm1l/Dvl1/Epha7/Ephb1/Gphn/Homer1/Itga3/Mfn2/Nrcam/Numb/Opa1/Ptprs/Rbmx/Sorbs1/Sorbs2/Stau2/Taok2/Tsc2/Ube3a/Zmynd8/Arhgef9/Kif1a/Lrrtm4/Nrxn3/Pafah1b1/Pak3/Pdlim5/Wasl/Arhgap44/Camk2b/Grin1/Il1rap/Magi2/Nrp2/Nrxn2/Rph3a/Mark2/Rapgef4/Dnm3/Hdac6/Lzts3/Dock7/Hnrnpm/Mtmr2/Snx27/Lrfn1/Caprin2/Dlg5",63,"Shared core",0.035958904109589,0.0136814564482721,2.62829503902199
"GO:0007409","axonogenesis","98/1752","490/18346",0.2,2.09429223744292,7.97791924548503,9.00963980365056e-13,7.55393942966073e-10,6.40971517459711e-10,"Abl1/Ablim1/Actr3/Ank3/Apbb1/Apbb2/Aplp2/App/Cdkl3/Chn1/Clasp2/Cntnap2/Ctnna2/Cttn/Cxcl12/Dcx/Dvl1/Epha7/Ephb1/Etv1/Evl/Flrt3/Fn1/Golga2/Kif5a/Lmo4/Map6/Mapk8ip3/Mbp/Neo1/Nptn/Nr4a2/Nrcam/Ntrk2/Numb/Olfm1/Pax6/Pip5k1c/Pmp22/Ptprs/Rnf6/Rtn4/Rufy3/Sema4a/Sema6d/Shox2/Sin3a/Skil/Snap91/Taok2/Trim46/Tsc2/Wdr36/Wnt7b/Zfyve27/Bcl11a/Fgf13/Mapt/Pafah1b1/Pak3/Sema4c/Vasp/Ache/Dclk1/Grin1/Islr2/Lhx2/Lrrc4c/Nfix/Nrp2/Sema6c/Shtn1/Amigo1/Efna5/Mark2/Tenm2/Bcl2/Hdac6/Ncam1/Picalm/Sema4f/Als2/Tbce/Fgfr3/Cyfip1/Dock7/Slit2/Zeb2/Enah/Mgll/Usp33/Sema4d/Brsk1/Brsk2/Sema3a/Tsku/Vegfa/Atg7",98,"Shared core",0.0559360730593607,0.0267088193611686,2.09429223744292
"GO:0099175","regulation of postsynapse organization","41/1752","138/18346",0.297101449275362,3.11108629475217,8.08844009276634,1.98948260972967e-11,1.45953417956293e-08,1.23845292455672e-08,"Abi2/Actr3/App/Arhgap33/Asap1/Baiap2/Caprin1/Cask/Cdc42/Dnm1l/Dvl1/Epha7/Homer1/Mfn2/Nrcam/Numb/Opa1/Ptprs/Rbmx/Stau2/Taok2/Tsc2/Ube3a/Zmynd8/Kif1a/Pafah1b1/Pak3/Pdlim5/Wasl/Arhgap44/Camk2b/Grin1/Il1rap/Nrp2/Mark2/Rapgef4/Dnm3/Lzts3/Hnrnpm/Lrfn1/Caprin2",41,"Shared core",0.0234018264840183,0.00752207565681893,3.11108629475217
"GO:0034329","cell junction assembly","90/1752","461/18346",0.195227765726681,2.04431997147357,7.37887137552333,3.07296213064263e-11,2.00391274941573e-08,1.70037237895559e-08,"Abi2/Abl1/Actr3/Acvrl1/Adgre5/Amigo2/App/Cadm1/Caprin1/Cdc42/Clasp1/Clasp2/Cntnap2/Crk/Cttn/Dlg1/Dmtn/Dvl1/Eif4g1/Elavl2/Epha7/Ephb1/Flrt3/Fn1/Gabrg2/Gjc1/Gpm6a/Gpm6b/Hdac7/Limch1/Lims1/Map4k4/Nptn/Ntrk2/Numb/Ocel1/Ogt/Pmp22/Ptprs/Rapgef1/Sema4a/Sorbs1/Src/Stau2/Taok2/Arhgef9/Cdh8/Ctnnb1/Dusp22/Ect2/Fgf13/Gabrb3/Lrrtm4/Mapt/Negr1/Nrxn3/Pdlim5/Ache/Asic2/Gria1/Grin1/Il1rap/Magi2/Nrxn2/Rab13/Tsc1/Amigo1/Clstn1/Efna5/Nphp1/Pecam1/Bcl2/Dnm3/Ikbkb/Lzts3/Flcn/Camsap3/Myo1c/Dock7/Slit2/Lrfn1/Pxn/Phldb2/Pkp4/Sema4d/Tpbg/Dlg5/Thsd1/Vegfa/Pard3",90,"Shared core",0.0513698630136986,0.0251280933173444,2.04431997147357
"GO:0050770","regulation of axonogenesis","48/1752","184/18346",0.260869565217391,2.73168552709946,7.67090261380949,6.66997850562027e-11,3.91461038494854e-08,3.3216492957989e-08,"Actr3/Cdkl3/Chn1/Cxcl12/Dcx/Epha7/Fn1/Golga2/Map6/Mbp/Ntrk2/Ptprs/Rnf6/Rtn4/Rufy3/Sema4a/Sema6d/Shox2/Skil/Snap91/Trim46/Tsc2/Zfyve27/Bcl11a/Fgf13/Mapt/Pafah1b1/Pak3/Sema4c/Ache/Grin1/Islr2/Lrrc4c/Sema6c/Shtn1/Amigo1/Efna5/Mark2/Picalm/Sema4f/Cyfip1/Slit2/Zeb2/Sema4d/Brsk1/Brsk2/Sema3a/Vegfa",48,"Shared core",0.0273972602739726,0.0100294342090919,2.73168552709946
