"gene_id","gene_name","n_tested_isoforms","gene_min_empirical_p","gene_q_value","best_isoform","best_isoform_estimate","best_isoform_empirical_p","best_isoform_empirical_FDR","Forebrain","Hindbrain","Midbrain","membership","any_nonfinite_transcript_test","all_transcript_tests_nonfinite"
"Ncam1","Ncam1",3,8.38769160137844e-13,1.04989278382206e-08,"NM_010875",5.06519705902379,8.38769160137844e-13,1.0350411436101e-08,TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain",FALSE,FALSE
"Mtus1","Mtus1",4,2.31462559337876e-11,1.44860885009646e-07,"NM_001005865",4.59673435291857,2.31462559337876e-11,1.42812399111469e-07,TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain",FALSE,FALSE
"Atp5g1","Atp5g1",2,1.35733082737838e-10,5.66323701822746e-07,"NM_007506",-1.79634037599337,1.35733082737838e-10,4.32070815387562e-07,TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain",FALSE,FALSE
"Armc8","Armc8",2,1.19077063046204e-09,1.86310943932344e-06,"NM_001166138",-2.32489810407771,1.19077063046204e-09,1.2615044416016e-06,TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain",FALSE,FALSE
"Arhgef7","Arhgef7",3,1.06053066299052e-09,1.8963803302923e-06,"NM_001113517",-3.17016347627001,1.06053066299052e-09,1.2615044416016e-06,TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain",FALSE,FALSE
"Lppr3","Lppr3",3,1.38755038637068e-09,1.92977427267612e-06,"NM_001170935",3.74127798285676,1.38755038637068e-09,1.26960857072613e-06,TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain",FALSE,FALSE
"Palm","Palm",2,1.05607965485692e-09,2.20315820100477e-06,"NM_001161747",-4.43982587445741,1.05607965485692e-09,1.2615044416016e-06,FALSE,FALSE,TRUE,"Midbrain only",FALSE,FALSE
"Capzb","Capzb",3,9.35986737662509e-10,2.34314918625689e-06,"NM_009798",-4.30721562981524,9.35986737662509e-10,1.2615044416016e-06,TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain",FALSE,FALSE
"Fhl1","Fhl1",4,2.16197000718291e-09,2.46012536958046e-06,"NM_001077361",-2.63794250010439,2.16197000718291e-09,1.56933587580218e-06,TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain",FALSE,FALSE
"Dpysl3","Dpysl3",3,2.05194521055543e-09,2.56841976667976e-06,"NM_009468",-4.96584535745482,2.05194521055543e-09,1.56933587580218e-06,TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain",FALSE,FALSE
"Tmpo","Tmpo",6,3.2889519395493e-09,2.74452071230188e-06,"NM_011605",1.18984428053465,3.2889519395493e-09,1.84480304245629e-06,TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain",FALSE,FALSE
"Tecr","Tecr",2,3.13149530189376e-09,2.79978045591989e-06,"NM_027179",-2.199099671187,3.13149530189376e-09,1.84480304245629e-06,TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain",FALSE,FALSE
"Clasp2","Clasp2",6,2.74588540435949e-09,2.86418730070329e-06,"NM_001114347",4.97888299769932,2.74588540435949e-09,1.84480304245629e-06,TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain",FALSE,FALSE
"Pde4dip","Pde4dip",5,9.17935921403587e-10,2.87245106983525e-06,"NM_178080",-2.61206919791917,9.17935921403587e-10,1.2615044416016e-06,TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain",FALSE,FALSE
"Tpm1","Tpm1",10,3.1053243982137e-09,2.98994968751264e-06,"NM_001164255",-4.0640825923525,3.1053243982137e-09,1.84480304245629e-06,TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain",FALSE,FALSE
"Acot7","Acot7",3,4.06620956297145e-09,3.18104658310336e-06,"NM_001146057",4.88777893079152,4.06620956297145e-09,2.18160982639425e-06,FALSE,FALSE,TRUE,"Midbrain only",FALSE,FALSE
"Asph","Asph",10,5.30541731933734e-09,3.90634754763569e-06,"NM_001177856",-4.32026451733034,5.30541731933734e-09,2.72786873835928e-06,TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain",FALSE,FALSE
"Rabgap1l","Rabgap1l",2,6.04494041241497e-09,4.2035843912997e-06,"NM_001038621",-3.52376454470071,6.04494041241497e-09,2.95204290740417e-06,TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain",FALSE,FALSE
"Tsc22d3","Tsc22d3",3,6.63458030162725e-09,4.37079165971939e-06,"NR_122039",-1.79530977050572,6.63458030162725e-09,3.03224892304001e-06,TRUE,TRUE,TRUE,"Forebrain + Hindbrain + Midbrain",FALSE,FALSE
