"isoform_id","Forebrain__0_1","Forebrain__0_2","Forebrain__10.5_1","Forebrain__10.5_2","Forebrain__11.5_1","Forebrain__11.5_2","Forebrain__12.5_1","Forebrain__12.5_2","Forebrain__13.5_1","Forebrain__13.5_2","Forebrain__14.5_1","Forebrain__14.5_2","Forebrain__15.5_1","Forebrain__15.5_2","Forebrain__16.5_1","Forebrain__16.5_2","Hindbrain__0_1","Hindbrain__0_2","Hindbrain__10.5_1","Hindbrain__10.5_2","Hindbrain__11.5_1","Hindbrain__11.5_2","Hindbrain__12.5_1","Hindbrain__12.5_2","Hindbrain__13.5_1","Hindbrain__13.5_2","Hindbrain__14.5_1","Hindbrain__14.5_2","Hindbrain__15.5_1","Hindbrain__15.5_2","Hindbrain__16.5_1","Hindbrain__16.5_2","Midbrain__0_1","Midbrain__0_2","Midbrain__10.5_1","Midbrain__10.5_2","Midbrain__11.5_1","Midbrain__11.5_2","Midbrain__12.5_1","Midbrain__12.5_2","Midbrain__13.5_1","Midbrain__13.5_2","Midbrain__14.5_1","Midbrain__14.5_2","Midbrain__15.5_1","Midbrain__15.5_2","Midbrain__16.5_1","Midbrain__16.5_2"
"NM_001159942",0.9758,1,0.9511,0.8919,0.852,1,1,1,1,1,1,0.9342,1,1,1,1,0.9758,1,0.9511,0.8919,0.8522,1,1,1,1,1,1,0.9342,1,1,1,1,1,1,0.8645,0.9616,1,0.7575,0.9168,1,1,1,1,0.5965,1,1,1,0.953
"NM_001033253",0.0242,0,0.0489,0.1081,0.148,0,0,0,0,0,0,0.0658,0,0,0,0,0.0242,0,0.0489,0.1081,0.1478,0,0,0,0,0,0,0.0658,0,0,0,0,0,0,0.1355,0.0384,0,0.2425,0.0832,0,0,0,0,0.4035,0,0,0,0.047
"NM_001170786",0.4945,0.3192,0.3079,0.4166,0.2287,0.2041,0.3771,0.3429,0.354,0.4116,0.2655,0.4022,0.3376,0.1648,0.4676,0.0965,0.4945,0.3192,0.3079,0.4166,0.2287,0.2042,0.3771,0.3429,0.3541,0.4116,0.2656,0.4021,0.3376,0.1647,0.4676,0.0965,0.2404,0.3661,0.2719,0.2969,0.1419,0.2335,0.2259,0.1973,0.3879,0.1859,0.3545,0.4529,0.162,0.7312,0.0959,0.1556
"NM_172308",0.4987,0.6681,0.6697,0.568,0.7585,0.7959,0.5934,0.6528,0.646,0.5708,0.7291,0.5978,0.656,0.8179,0.5209,0.8971,0.4986,0.6681,0.6698,0.568,0.7585,0.7958,0.5934,0.6528,0.6459,0.5708,0.729,0.5979,0.656,0.818,0.5209,0.8971,0.7549,0.6339,0.7168,0.7031,0.8581,0.7614,0.7615,0.8027,0.6033,0.8063,0.6455,0.5187,0.8339,0.2688,0.9041,0.8444
"NM_001170785",0.0068,0.0127,0.0223,0.0154,0.0128,0,0.0295,0.0043,0,0.0176,0.0054,0,0.0064,0.0173,0.0115,0.0064,0.0068,0.0127,0.0223,0.0154,0.0128,0,0.0295,0.0043,0,0.0176,0.0054,0,0.0064,0.0173,0.0115,0.0064,0.0047,0,0.0113,0,0,0.0051,0.0126,0,0.0087,0.0079,0,0.0284,0.0041,0,0,0
"NM_001302532",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1467,0.1268,0,0,0,0,0,NA,1,0,0,0.67,0,0,0,0
"NM_001302531",1,0,0,0,1,1,1,1,1,1,1,0,1,0.7771,1,0.8531,1,0,0,0,1,1,1,1,1,1,1,0,1,0.7771,1,0.8531,0.8533,0.8732,1,1,1,0,1,NA,0,1,1,0,1,0.8696,1,1
"NM_022027",0.3395,0.3645,0,0,0.4429,0,0,0.0442,0.1725,0.2465,0,0,0.1992,0.2697,0.22,0.3543,0.3395,0.3645,0,0,0.4429,0,0,0.0442,0.1725,0.2465,0,0,0.1992,0.2697,0.2199,0.3543,0.3452,0.3399,0,0,0,0,0,0,0.0723,0.1621,0.1372,0.0476,0.9304,0.8937,0.2194,0.1028
"NM_001079686",0.2024,0.2,0.8365,0.8008,0.5189,0.8199,0.7546,0.7171,0.431,0.3938,0.5366,0.5024,0.3407,0.3398,0.3747,0.2371,0.2024,0.2,0.8365,0.8008,0.5189,0.8199,0.7546,0.7171,0.431,0.3938,0.5366,0.5024,0.3407,0.3398,0.3747,0.2371,0.2367,0.2257,0.8444,0.8189,0.7449,0.8822,0.7257,0.7489,0.5262,0.4558,0.4114,0.5009,0.055,0.0716,0.3336,0.4075
"NM_153399",0.4581,0.4355,0.1635,0.1992,0.0381,0.1801,0.2454,0.2387,0.3965,0.3597,0.4634,0.4976,0.4601,0.3905,0.4053,0.4086,0.4581,0.4355,0.1635,0.1992,0.0381,0.1801,0.2454,0.2387,0.3965,0.3597,0.4634,0.4976,0.4601,0.3905,0.4053,0.4086,0.4181,0.4344,0.1556,0.1811,0.2551,0.1178,0.2743,0.2511,0.4014,0.3821,0.4514,0.4515,0.0145,0.0347,0.4469,0.4897
"NM_019958",0.8918,0.8119,0.6565,1,0.8675,0.8346,0.6965,0.9186,0.9061,0.7731,0.7823,0.8263,0.7842,0.786,0.8049,0.7799,0.8918,0.8119,0.6565,1,0.8675,0.8346,0.6965,0.9186,0.9061,0.7731,0.7823,0.8263,0.7842,0.786,0.805,0.7799,0.7995,0.8614,0.8491,1,0.8496,0.8233,0.8246,0.9248,0.8895,0.8271,0.8653,0.8419,1,1,0.8086,0.7852
"NM_001161822",0.1082,0.1881,0.3435,0,0.1325,0.1654,0.3035,0.0814,0.0939,0.2269,0.2177,0.1737,0.2158,0.214,0.1951,0.2201,0.1082,0.1881,0.3435,0,0.1325,0.1654,0.3035,0.0814,0.0939,0.2269,0.2177,0.1737,0.2158,0.214,0.195,0.2201,0.2005,0.1386,0.1509,0,0.1504,0.1767,0.1754,0.0752,0.1105,0.1729,0.1347,0.1581,0,0,0.1914,0.2148
"NM_001304937",0.349,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1392,0.3489,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.1392,0,0,0,0,0,0,0,0,0.4351,0,0,0,NA,0,0,0
