"isoform_id","gene_id","gene_name","region","start_stage","end_stage","n_stages","direction","max_abs_usage_difference","mean_abs_usage_difference","worst_pair_q","flanking_max_abs_difference","gene_q","replicate_separation","replicate_consistent","reciprocal_exchange"
"NM_001110228","Celf2","Celf2","Midbrain","15.5","15.5",1,"lower",0.68345,0.68345,7.83117866155334e-24,0.0437499999999998,2.00449894653278e-23,0.6795,TRUE,TRUE
"NM_001164790","Scg3","Scg3","Midbrain","15.5","15.5",1,"lower",0.605825,0.605825,2.69939487499784e-22,0.0609000000000001,1.97413602985781e-22,0.5955,TRUE,TRUE
"NM_009130","Scg3","Scg3","Midbrain","15.5","15.5",1,"higher",0.605825,0.605825,2.69939487499784e-22,0.0609000000000001,1.97413602985781e-22,0.5955,TRUE,TRUE
"NM_001290664","Sh3kbp1","Sh3kbp1","Midbrain","15.5","15.5",1,"higher",0.1664,0.1664,2.69939487499784e-22,0.0039,3.91880783465813e-22,0.1519,TRUE,TRUE
"NM_009722","Atp2a2","Atp2a2","Midbrain","15.5","15.5",1,"higher",0.913,0.913,2.82872071469213e-19,0.00245,3.72368754175323e-19,0.9054,TRUE,TRUE
"NM_001110830","Rbfox2","Rbfox2","Midbrain","15.5","15.5",1,"lower",0.359725,0.359725,7.21384071083892e-18,0.0310000000000001,2.15422984440092e-17,0.351,TRUE,FALSE
"NM_001253754","Gpm6a","Gpm6a","Midbrain","15.5","15.5",1,"higher",0.5719,0.5719,3.03609846176557e-17,0.0710499999999999,2.3877265329955e-17,0.5672,TRUE,TRUE
"NM_153581","Gpm6a","Gpm6a","Midbrain","15.5","15.5",1,"lower",0.5715,0.5715,3.03609846176557e-17,0.0703,2.3877265329955e-17,0.5668,TRUE,TRUE
"NM_198894","Abr","Abr","Midbrain","15.5","15.5",1,"higher",0.5696,0.5696,3.03609846176557e-17,0.0053,4.89679564060797e-17,0.5208,TRUE,FALSE
"NM_001110223","Dcx","Dcx","Midbrain","15.5","15.5",1,"lower",0.3712,0.3712,4.04038210109534e-17,0.0409,7.79001703028881e-17,0.3642,TRUE,FALSE
"NM_001293780","Chtop","Chtop","Midbrain","15.5","15.5",1,"lower",0.123825,0.123825,5.08304584398004e-17,0.01655,1.48694420886133e-16,0.1162,TRUE,TRUE
"NM_001253681","Immt","Immt","Midbrain","15.5","15.5",1,"lower",0.43025,0.43025,5.33548667637355e-17,0.0898,1.23122591982581e-16,0.4192,TRUE,TRUE
"NM_139302","Sh3glb2","Sh3glb2","Midbrain","15.5","15.5",1,"higher",0.7661,0.7661,9.53000578812814e-17,0,1.34412465936736e-16,0.7547,TRUE,TRUE
"NM_001177856","Asph","Asph","Midbrain","15.5","15.5",1,"lower",0.5033,0.5033,2.36644225495471e-16,0.0917,9.67121974433011e-16,0.4925,TRUE,TRUE
"NM_001252283","Ogdh","Ogdh","Midbrain","15.5","15.5",1,"lower",0.287775,0.287775,2.97776780734608e-16,0.0519999999999999,6.8053663289042e-16,0.2869,TRUE,TRUE
"NM_010875","Ncam1","Ncam1","Midbrain","15.5","15.5",1,"higher",0.40375,0.40375,1.57883262720437e-15,0.01705,2.02062069757133e-15,0.3952,TRUE,TRUE
"NM_029663","Eef1d","Eef1d","Midbrain","15.5","15.5",1,"lower",0.42375,0.42375,2.59164539310672e-15,0.08905,5.7516018460452e-15,0.4057,TRUE,TRUE
"NM_001113214","Odf2","Odf2","Midbrain","15.5","15.5",1,"higher",0.2036,0.2036,3.14549777765481e-15,0,6.00099759769888e-15,0.1871,TRUE,TRUE
"NM_001286388","Trim9","Trim9","Midbrain","15.5","15.5",1,"lower",0.22665,0.22665,3.62258236203399e-15,0.0291,7.03716722775781e-15,0.2261,TRUE,FALSE
"NM_001113517","Arhgef7","Arhgef7","Midbrain","15.5","15.5",1,"lower",0.5468,0.5468,4.19446801001808e-15,0.0409,5.7516018460452e-15,0.5399,TRUE,TRUE
