"isoform_id","gene_id","gene_name","region","start_stage","end_stage","n_stages","direction","max_abs_usage_difference","mean_abs_usage_difference","worst_pair_q","flanking_max_abs_difference","gene_q","replicate_separation","replicate_consistent","reciprocal_exchange"
"NM_001110228","Celf2","Celf2","Midbrain","15.5","15.5",1,"lower",0.68345,0.68345,1.03294140545254e-22,0.0437499999999998,3.61055319139331e-22,0.6795,TRUE,TRUE
"NM_001164790","Scg3","Scg3","Midbrain","15.5","15.5",1,"lower",0.605825,0.605825,3.56053265613862e-21,0.0609000000000001,6.1456928423584e-21,0.5955,TRUE,TRUE
"NM_009130","Scg3","Scg3","Midbrain","15.5","15.5",1,"higher",0.605825,0.605825,3.56053265613862e-21,0.0609000000000001,6.1456928423584e-21,0.5955,TRUE,TRUE
"NM_001290664","Sh3kbp1","Sh3kbp1","Midbrain","15.5","15.5",1,"higher",0.1664,0.1664,3.56053265613862e-21,0.0039,7.05865381388997e-21,0.1519,TRUE,TRUE
"NM_009722","Atp2a2","Atp2a2","Midbrain","15.5","15.5",1,"higher",0.913,0.913,3.73111491506598e-18,0.00245,6.70719830553366e-18,0.9054,TRUE,TRUE
"NM_001110830","Rbfox2","Rbfox2","Midbrain","15.5","15.5",1,"lower",0.359725,0.359725,9.51513825006604e-17,0.0310000000000001,3.77427842661621e-16,0.351,TRUE,FALSE
"NM_001253754","Gpm6a","Gpm6a","Midbrain","15.5","15.5",1,"higher",0.5719,0.5719,4.00464853085905e-16,0.0710499999999999,7.64170927927897e-16,0.5672,TRUE,TRUE
"NM_153581","Gpm6a","Gpm6a","Midbrain","15.5","15.5",1,"lower",0.5715,0.5715,4.00464853085905e-16,0.0703,7.64170927927897e-16,0.5668,TRUE,TRUE
"NM_198894","Abr","Abr","Midbrain","15.5","15.5",1,"higher",0.5696,0.5696,4.00464853085905e-16,0.0053,8.82022969300117e-16,0.5208,TRUE,FALSE
"NM_001110223","Dcx","Dcx","Midbrain","15.5","15.5",1,"lower",0.3712,0.3712,5.32931011593456e-16,0.0409,1.40315717792559e-15,0.3642,TRUE,FALSE
"NM_001293780","Chtop","Chtop","Midbrain","15.5","15.5",1,"lower",0.123825,0.123825,6.70459549574239e-16,0.01655,1.83299137522954e-15,0.1162,TRUE,TRUE
"NM_001253681","Immt","Immt","Midbrain","15.5","15.5",1,"lower",0.43025,0.43025,7.03756783550821e-16,0.0898,2.05930645817476e-15,0.4192,TRUE,TRUE
"NM_139302","Sh3glb2","Sh3glb2","Midbrain","15.5","15.5",1,"higher",0.7661,0.7661,1.25701864281147e-15,0,2.2596659451697e-15,0.7547,TRUE,TRUE
