"tissue","early_i","late_i","early","late","genes","interval"
"Forebrain",1,2,"10.5","11.5",180,"E10.5–E11.5"
"Forebrain",2,3,"11.5","12.5",272,"E11.5–E12.5"
"Forebrain",3,4,"12.5","13.5",461,"E12.5–E13.5"
"Forebrain",4,5,"13.5","14.5",289,"E13.5–E14.5"
"Forebrain",5,6,"14.5","15.5",182,"E14.5–E15.5"
"Forebrain",6,7,"15.5","16.5",104,"E15.5–E16.5"
"Forebrain",7,8,"16.5","0",569,"E16.5–P0"
"Hindbrain",1,2,"10.5","11.5",179,"E10.5–E11.5"
"Hindbrain",2,3,"11.5","12.5",274,"E11.5–E12.5"
"Hindbrain",3,4,"12.5","13.5",455,"E12.5–E13.5"
"Hindbrain",4,5,"13.5","14.5",298,"E13.5–E14.5"
"Hindbrain",5,6,"14.5","15.5",180,"E14.5–E15.5"
"Hindbrain",6,7,"15.5","16.5",107,"E15.5–E16.5"
"Hindbrain",7,8,"16.5","0",565,"E16.5–P0"
"Midbrain",1,2,"10.5","11.5",260,"E10.5–E11.5"
"Midbrain",2,3,"11.5","12.5",288,"E11.5–E12.5"
"Midbrain",3,4,"12.5","13.5",370,"E12.5–E13.5"
"Midbrain",4,5,"13.5","14.5",225,"E13.5–E14.5"
"Midbrain",5,6,"14.5","15.5",941,"E14.5–E15.5"
"Midbrain",6,7,"15.5","16.5",1011,"E15.5–E16.5"
"Midbrain",7,8,"16.5","0",525,"E16.5–P0"
