"gene","max_transient_IF_score","gene_TPM_E15_5","best_isoform","best_isoform_replicate_gap"
"Ppp2r3a",0.8959,11.8742768736614,"NM_001161362",0.0161
"Rtn2",0.861925,24.8057292604894,"NM_001025364",0.0226000000000001
"Schip1",0.855825,25.5970487625433,"NM_013928",0.0209
"Sh3kbp1",0.72305,13.6318661356269,"NM_001135727",0.0832
"Fhl2",0.706,211.739706067424,"NM_001289533",0.1172
"Lck",0.68355,11.5781175369028,"NM_010693",0.0683
"Acot7",0.6519,39.5074709802523,"NM_001146057",0.0182
"Rps24",0.56205,366.64155376835,"NM_011297",0.0297
"Mpp6",0.50225,22.6131982871128,"NM_019939",0.0766
"Palm",0.479025,19.7803720525268,"NM_001161747",0.0265
"Ndrg4",0.413525,71.106603166622,"NM_145602",0.0456000000000001
"Mlf1",0.399775,273.060417820657,"NM_001039543",0.0586
"2310045N01Rik",0.39195,14.4233543627866,"NM_001145552",0.0499
"Acsl1",0.3735,11.7433285979286,"NM_001302163",0.00939999999999996
"Hacd1",0.368725,234.58219306807,"NM_013935",0.031
"Fxr1",0.29815,27.7137850482889,"NM_001113188",0.0555
"Arl2bp",0.28145,44.7265632257835,"NM_024191",0.0507
"Trip10",0.27405,11.9169916632195,"NM_001242390",0.0573
"Dnajb6",0.269325,43.7029767362341,"NM_011847",0.00660000000000005
"Dnm2",0.255675,14.3945106776133,"NM_007871",0.0384
"Dut",0.2551,18.8061842824505,"NM_001159646",0.00590000000000002
"Acer2",0.2386,13.6215514055068,"NM_139306",0.0132
"Hnrnpk",0.238575,198.638705888615,"NM_001301340",0.0467
"Rgs3",0.238225,7.92583020062119,"NM_134257",0.0155000000000001
"Snrpn",0.232475,18.8325075524941,"NM_013670",0.00180000000000002
"Pkig",0.221625,257.848421924873,"NM_001039391",0.0402999999999999
"Dag1",0.2201,17.6102519561012,"NM_001276486",0.0204
"Lsm10",0.21795,47.9540804541602,"NM_001163266",0.091
"Galk2",0.2154,7.076115407407,"NM_175154",0.0249
"H2afy",0.214075,43.9650291305718,"NM_001159513",0.1055
"Prosc",0.21265,5.29983277146552,"NM_001039077",0.0607
"Ppap2a",0.1994,32.6912312225579,"NM_008903",0.0111
"Prc1",0.198025,30.21058775098,"NM_001285998",0.0173
"Dgkz",0.182975,6.86940915529115,"NM_138306",0.0595
"Ngrn",0.17965,25.4729738440604,"NM_031375",0.0726
"Sorbs3",0.17785,14.4767811081175,"NM_001271407",0.0405
"Dpy30",0.17075,269.167985308681,"NM_001146223",0.0796
"Gstm4",0.16525,7.61435200183254,"NM_001160411",0.0309
"Smtn",0.157225,18.8271213605574,"NM_013870",0.0355000000000001
"Snca",0.15185,107.583677295432,"NM_001042451",0.0364
"Far1",0.1498,6.68619140368869,"NM_001285831",0.0758
"N6amt1",0.14435,13.2759545675889,"NM_001159331",0.0361
"Lclat1",0.143775,5.91673783620409,"NM_001177967",0.0448999999999999
"Maged2",0.1437,218.730785304553,"NM_030700",0.0184
"Med22",0.142775,20.6399950867691,"NM_011513",0.0684
"Flot2",0.13545,30.6783887573763,"NM_008028",0.0091
"Rrp8",0.13445,5.39988423145438,"NM_025897",0.0151
"Bad",0.1267,59.1532970219304,"NM_007522",0.0348
"Anapc5",0.12515,79.0241694551093,"NM_021505",0.06
"Cyth2",0.124525,13.7405546110446,"NM_001112701",0.023
"Lmf1",0.12405,15.6322439764658,"NR_045520",0.0268
"Pde1a",0.123225,6.4520650125336,"NM_001009978",0.000800000000000023
"Cpne8",0.122575,7.2408244852557,"NM_025815",0.0119
"Tcf25",0.1215,34.0183551508659,"NM_001037878",0.0635
"Kdm2b",0.1168,5.37184095240772,"NM_001003953",0.00510000000000002
"Zgpat",0.116025,12.4752012872111,"NM_144894",0.0951
"Eif2d",0.113525,18.864353814262,"NM_010709",0.0207
"Ilk",0.113425,164.972393067262,"NM_001161724",0.0324000000000001
"Abhd11",0.107375,50.1512658893713,"NM_145215",0.031
"Tfpi",0.104275,32.1586441285921,"NM_001177319",0.0164
