"comparison_universe","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"All DTU genes","GO:0043069","negative regulation of programmed cell death","49/431","175/2524",0.28,1.63972157772622,3.97998249360676,0.000124716555157551,0.326383224847312,0.316911330684557,"Apoe/Dnajb6/Flna/Gria4/Hnrnpk/Itsn1/Kdm2b/Ntf3/Taf9/Trip10/Api5/Cib1/Dnmt1/Kit/Krit1/Trem2/Ung/Foxp1/Nnt/Tek/Wnt5a/Cav1/Cbs/Rps6ka1/Aven/Ikbkg/Ppargc1a/Timp1/Cd74/Cdkn1a/Fcgr2b/Fgfr2/Fhl2/Ilk/Npm1/Snca/Trim32/Faim2/Eya3/Grik2/Mutyh/Ambra1/Rffl/Mecom/Sirt1/Creb1/Hipk3/Fmr1/Jak3",49
"All DTU genes","GO:0043066","negative regulation of apoptotic process","46/431","170/2524",0.270588235294118,1.58460488603794,3.58093401468346,0.000481825931228704,0.566169881147751,0.549739192361954,"Apoe/Dnajb6/Flna/Gria4/Hnrnpk/Itsn1/Kdm2b/Ntf3/Taf9/Trip10/Api5/Cib1/Dnmt1/Krit1/Trem2/Ung/Foxp1/Nnt/Tek/Wnt5a/Cav1/Cbs/Rps6ka1/Aven/Ikbkg/Ppargc1a/Timp1/Cd74/Cdkn1a/Fcgr2b/Fgfr2/Fhl2/Ilk/Npm1/Snca/Trim32/Faim2/Eya3/Grik2/Ambra1/Rffl/Sirt1/Creb1/Hipk3/Fmr1/Jak3",46
"All DTU genes","GO:0009299","mRNA transcription","7/431","11/2524",0.636363636363636,3.72663994937777,4.11188100457749,0.000710673411366512,0.566169881147751,0.549739192361954,"Flna/Hltf/Hnrnpd/Taf9/Nr1h3/Creb1/Hipk3",7
"All DTU genes","GO:0043086","negative regulation of catalytic activity","25/431","80/2524",0.3125,1.8300464037123,3.42301979911838,0.00113327850350798,0.566169881147751,0.549739192361954,"Apoe/Cdkn2c/Dnajb6/Eng/Foxa2/Pkig/Spink2/Spock1/Bicd1/Cav1/Rps6ka1/Spry1/Timp1/Camk2a/Cdkn1a/Ins2/Npm1/Palm/Snca/Smcr8/Tfpi/Rffl/Sirt1/Zgpat/Hipk3",25
"All DTU genes","GO:0051147","regulation of muscle cell differentiation","12/431","29/2524",0.413793103448276,2.4232338587087,3.49745904146284,0.00167066754287151,0.566169881147751,0.549739192361954,"Eng/Trip10/Dnmt1/Kit/Foxp1/Fgfr2/Hopx/Nfatc2/Trim32/Sirt1/Atp11a/Dmpk",12
"All DTU genes","GO:0051248","negative regulation of protein metabolic process","44/431","172/2524",0.255813953488372,1.49808449792262,3.07016160487995,0.00225650239114181,0.566169881147751,0.549739192361954,"Apoe/Cdkn2c/Dnajb6/Flna/Fxr1/Ntf3/Pkig/Rab23/Spink2/Spock1/Taf9/Tyms/Cib1/Trem2/Nnt/Cav1/Rps6ka1/Gfra2/Ppargc1a/Spry1/Timp1/Arpp19/Cdkn1a/Ctsa/Flot2/Ins2/Npm1/Parp10/Rtn2/Snca/Trim39/Smcr8/Svip/Nr1h3/Tfpi/Rffl/Azin1/Sirt1/Zgpat/Ddx6/Hipk3/Furin/Fmr1/Jak3",44
"All DTU genes","GO:0033209","tumor necrosis factor-mediated signaling pathway","8/431","16/2524",0.5,2.92807424593968,3.51020616824517,0.00243767759189928,0.566169881147751,0.549739192361954,"Cpne1/Ikbkg/Ilk/Trim32/Traf6/Tjp2/Rffl/Hipk1",8
"All DTU genes","GO:0032371","regulation of sterol transport","7/431","13/2524",0.538461538461538,3.15331072639657,3.53156878697401,0.00269705598607941,0.566169881147751,0.549739192361954,"Apoe/Trem2/Abca3/Cav1/Nr1h3/Sirt1/Furin",7
"All DTU genes","GO:0032374","regulation of cholesterol transport","7/431","13/2524",0.538461538461538,3.15331072639657,3.53156878697401,0.00269705598607941,0.566169881147751,0.549739192361954,"Apoe/Trem2/Abca3/Cav1/Nr1h3/Sirt1/Furin",7
"All DTU genes","GO:0043549","regulation of kinase activity","33/431","122/2524",0.270491803278689,1.58404016583622,3.00019011340106,0.00309848216785528,0.566169881147751,0.549739192361954,"Apoe/Cdkn2c/Foxa2/Ntf3/Pkig/Cib1/Kit/Ldb1/Trem2/Tek/Wnt5a/Cav1/Cbs/Spry1/Cd74/Cdkn1a/Fgfr2/Ins2/Map4k2/Npm1/Snca/Vldlr/Smcr8/Traf6/Stk11/Sirt1/Bad/Cdk12/Zgpat/Adra1a/Hipk3/Nedd9/Fgd4",33
