"gene","calibrated_scan_rank","expected_direction","accession","paired_accession","reconstructed_transcript_length_nt","reconstructed_ambiguous_bases","archived_sequence_survives","archived_sequence_length_nt","exact_match_to_archived_sequence","sequence_evidence","reference_package","reference_package_version","reference_genome","annotation_boundary"
"Scg3",1,"higher","NM_009130","NM_001164790",2207,0,FALSE,NA,NA,"Reconstructed from archived exons and named mm10 reference; no candidate ntSequence survives","BSgenome.Mmusculus.UCSC.mm10","1.4.3","mm10","Sequence reconstruction is auditable, but the original RefSeq annotation release and accession version suffix remain unresolved"
"Scg3",1,"lower","NM_001164790","NM_009130",2192,0,FALSE,NA,NA,"Reconstructed from archived exons and named mm10 reference; no candidate ntSequence survives","BSgenome.Mmusculus.UCSC.mm10","1.4.3","mm10","Sequence reconstruction is auditable, but the original RefSeq annotation release and accession version suffix remain unresolved"
"Gpm6a",2,"higher","NM_001253754","NM_153581",2966,0,TRUE,2966,TRUE,"Exact exon-plus-mm10 reconstruction match to archived ntSequence","BSgenome.Mmusculus.UCSC.mm10","1.4.3","mm10","Sequence reconstruction is auditable, but the original RefSeq annotation release and accession version suffix remain unresolved"
"Gpm6a",2,"lower","NM_153581","NM_001253754",3337,0,TRUE,3337,TRUE,"Exact exon-plus-mm10 reconstruction match to archived ntSequence","BSgenome.Mmusculus.UCSC.mm10","1.4.3","mm10","Sequence reconstruction is auditable, but the original RefSeq annotation release and accession version suffix remain unresolved"
"Ntrk2",3,"higher","NM_008745","NM_001025074",7030,0,TRUE,7030,TRUE,"Exact exon-plus-mm10 reconstruction match to archived ntSequence","BSgenome.Mmusculus.UCSC.mm10","1.4.3","mm10","Sequence reconstruction is auditable, but the original RefSeq annotation release and accession version suffix remain unresolved"
"Ntrk2",3,"lower","NM_001025074","NM_008745",8744,0,TRUE,8744,TRUE,"Exact exon-plus-mm10 reconstruction match to archived ntSequence","BSgenome.Mmusculus.UCSC.mm10","1.4.3","mm10","Sequence reconstruction is auditable, but the original RefSeq annotation release and accession version suffix remain unresolved"
"Tecr",4,"higher","NM_134118","NM_027179",1174,0,TRUE,1174,TRUE,"Exact exon-plus-mm10 reconstruction match to archived ntSequence","BSgenome.Mmusculus.UCSC.mm10","1.4.3","mm10","Sequence reconstruction is auditable, but the original RefSeq annotation release and accession version suffix remain unresolved"
"Tecr",4,"lower","NM_027179","NM_134118",1129,0,TRUE,1129,TRUE,"Exact exon-plus-mm10 reconstruction match to archived ntSequence","BSgenome.Mmusculus.UCSC.mm10","1.4.3","mm10","Sequence reconstruction is auditable, but the original RefSeq annotation release and accession version suffix remain unresolved"
"Armc8",5,"higher","NM_028768","NM_001166138",4628,0,TRUE,4628,TRUE,"Exact exon-plus-mm10 reconstruction match to archived ntSequence","BSgenome.Mmusculus.UCSC.mm10","1.4.3","mm10","Sequence reconstruction is auditable, but the original RefSeq annotation release and accession version suffix remain unresolved"
"Armc8",5,"lower","NM_001166138","NM_028768",3629,0,TRUE,3629,TRUE,"Exact exon-plus-mm10 reconstruction match to archived ntSequence","BSgenome.Mmusculus.UCSC.mm10","1.4.3","mm10","Sequence reconstruction is auditable, but the original RefSeq annotation release and accession version suffix remain unresolved"
"Bin1",6,"higher","NM_001083334","NM_009668",2122,0,TRUE,2122,TRUE,"Exact exon-plus-mm10 reconstruction match to archived ntSequence","BSgenome.Mmusculus.UCSC.mm10","1.4.3","mm10","Sequence reconstruction is auditable, but the original RefSeq annotation release and accession version suffix remain unresolved"
"Bin1",6,"lower","NM_009668","NM_001083334",2455,0,TRUE,2455,TRUE,"Exact exon-plus-mm10 reconstruction match to archived ntSequence","BSgenome.Mmusculus.UCSC.mm10","1.4.3","mm10","Sequence reconstruction is auditable, but the original RefSeq annotation release and accession version suffix remain unresolved"
