"display","panel_or_scope","rendered_asset","source_file","selection_or_role","regeneration_or_audit_source"
"Figure 1","all","figures/thesis_delayed_response.pdf","Chapter3/Figs/Raster/Isoform_Delayed_Response_Pattern.pdf","Unchanged thesis display documenting the original delayed-response observation","author doctoral thesis"
"Figure 2","A","figures/figure1_dtu_landscape.pdf; figures/figure1_dtu_landscape.png","tables/dataset_summary.csv","All three regional rows; DTU_genes supplies bar heights","analysis/run_analysis.R"
"Figure 2","B","figures/figure1_dtu_landscape.pdf; figures/figure1_dtu_landscape.png","tables/dtu_membership_counts.csv","All mutually exclusive membership rows","analysis/run_analysis.R"
"Figure 3","A","figures/figure2_temporal_dtu.pdf; figures/figure2_temporal_dtu.png","tables/temporal_contrast_counts.csv","All 28 stage-pair contrasts in each region","analysis/run_analysis.R"
"Figure 3","B","figures/figure2_temporal_dtu.pdf; figures/figure2_temporal_dtu.png","tables/adjacent_stage_counts.csv","Seven adjacent-stage contrasts in each region","analysis/run_analysis.R"
"Figure 4","A","figures/figure6_transient_regional_episodes.pdf; figures/figure6_transient_regional_episodes.png","data/transient_regional_isoform_episodes.csv","All primary episodes grouped by starting stage","analysis/run_transient_regional_scan.R"
"Figure 4","B","figures/figure6_transient_regional_episodes.pdf; figures/figure6_transient_regional_episodes.png","tables/transient_regional_top_candidate_isoforms.csv; tables/transient_regional_top_candidate_trajectories.csv","Six distinct reciprocal genes ranked by worst pairwise q-value and maximum fraction difference","analysis/run_transient_regional_scan.R"
"Figure 5","A","figures/figure7_candidate_mechanism.pdf; figures/figure7_candidate_mechanism.png","tables/candidate_mechanism_crosswalk.csv","All six leading candidate pairs; direction from calibrated scan and direct protein differences restricted to current RefSeq annotation","analysis/create_candidate_mechanism_figure.py"
"Figure 5","B","figures/figure7_candidate_mechanism.pdf; figures/figure7_candidate_mechanism.png","tables/candidate_counter_audit.csv; tables/transient_regional_top_candidates.csv; data/joint_interaction_genes.csv","All six candidates compared across calibrated-scan rank, effect size, focused count-model rank and protein interpretability","analysis/create_candidate_mechanism_figure.py"
"Figure 6","all","figures/figure3_splicing_architecture.pdf; figures/figure3_splicing_architecture.png","tables/splicing_event_prevalence.csv","All event-by-region rows","analysis/run_analysis.R"
"Figure 7","A","figures/figure4_go_enrichment.pdf; figures/figure4_go_enrichment.png","tables/go_bp_enrichment_top.csv","Rows with group equal to Shared core","analysis/run_counter_audit.R"
"Figure 7","B","figures/figure4_go_enrichment.pdf; figures/figure4_go_enrichment.png","tables/audit_go_covariate_adjusted.csv","All eight preselected shared-core terms","analysis/run_counter_audit.R"
"Figure S3","all","figures/figure5_candidate_trajectories.pdf; figures/figure5_candidate_trajectories.png","tables/representative_isoform_trajectories.csv","All rows for the original thesis-style Ppp2r3a and Rtn2 comparison","analysis/run_analysis.R"
"Figure S1","all","figures/figureS1_sample_pca.pdf; figures/figureS1_sample_pca.png","tables/sample_pca_coordinates.csv","All 48 sample coordinates and variance fields","analysis/run_analysis.R"
"Figure S2","A","figures/figureS2_threshold_robustness.pdf; figures/figureS2_threshold_robustness.png","tables/audit_threshold_sensitivity.csv","All six q-value-by-dIF criteria","analysis/run_counter_audit.R"
"Figure S2","B","figures/figureS2_threshold_robustness.pdf; figures/figureS2_threshold_robustness.png","tables/audit_e155_sensitivity.csv","Both E15.5-flanking contrasts under all six criteria","analysis/run_counter_audit.R"
"Table 1","all","manuscript.pdf","tables/dataset_summary.csv","All three regional rows","analysis/run_analysis.R"
"Table S1","all","manuscript.pdf","tables/encode_library_provenance.csv","Unique region-stage experiment accessions","external: ENCODE portal and archived-metadata audit recorded in source_file"
"Table S2","all","manuscript.pdf","tables/candidate_mechanism_crosswalk.csv; tables/candidate_counter_audit.csv","All six leading candidate pairs with direct annotation, evidence balance, primary-reference DOI and quantitative counter-audit","external: current RefSeq and primary-literature audit recorded in source_file; analysis/create_candidate_mechanism_figure.py"
"Table S3","all","manuscript.pdf","tables/encode_midbrain_provenance.csv","E14.5-E16.5 midbrain provenance and collection rows","external: ENCODE portal and source-study audit recorded in source_file"
"Table S4","all","manuscript.pdf","tables/encode_library_provenance.csv","All 48 biological-replicate rows","external: ENCODE portal and archived-metadata audit recorded in source_file"
"Table S5","all","manuscript.pdf","tables/candidate_identifier_audit.csv","All four candidate transcript rows","analysis/run_counter_audit.R; external: current RefSeq audit recorded in source_file"
"Table S6","all","manuscript.pdf","tables/joint_interaction_summary.csv; tables/joint_interaction_contrast.csv; tables/joint_interaction_warnings.csv","Summary metrics, contrast coefficients and captured warning counts","analysis/run_joint_interaction_audit.R"
"Figure S4","A","figures/figureS4_e155_artifact_audit.pdf; figures/figureS4_e155_artifact_audit.png","tables/e155_episode_event_bias.csv","All eight stored transcript-event classes; E15.5 episode and remaining midbrain DTU cohorts","analysis/run_episode_artifact_audit.R"
"Figure S4","B","figures/figureS4_e155_artifact_audit.pdf; figures/figureS4_e155_artifact_audit.png","tables/e155_episode_length_summary.csv; tables/e155_episode_artifact_tests.csv","All sequence-resolved E15.5 episode isoforms stratified by midbrain direction","analysis/run_episode_artifact_audit.R"
