region,stage,experiment_accession,biological_replicate,technical_replicate,biosample_accession,library_accession,experiment_library_set,geo_series,replicate_linkage_status,metadata_basis,archive_input_linkage
Forebrain,E10.5,ENCSR304RDL,1,1,ENCBS152ONW,ENCLB029BTN,,GSE88173,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Forebrain,E10.5,ENCSR304RDL,2,1,ENCBS790BBA,ENCLB286HEN,,GSE88173,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Forebrain,E11.5,ENCSR160IIN,1,1,ENCBS745VOM,ENCLB835LVO,,GSE78335,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Forebrain,E11.5,ENCSR160IIN,2,1,ENCBS720JOH,ENCLB471QMM,,GSE78335,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Forebrain,E12.5,ENCSR647QBV,1,1,ENCBS974GPH,ENCLB204IPP,,GSE82852,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Forebrain,E12.5,ENCSR647QBV,2,1,ENCBS617DPG,ENCLB214HEI,,GSE82852,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Forebrain,E13.5,ENCSR970EWM,1,1,ENCBS273RVL,ENCLB177SFU,,GSE78493,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Forebrain,E13.5,ENCSR970EWM,2,1,ENCBS793ZRY,ENCLB807ODU,,GSE78493,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Forebrain,E14.5,ENCSR185LWM,1,1,ENCBS567ABO,ENCLB336GOL,,GSE78340,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Forebrain,E14.5,ENCSR185LWM,2,1,ENCBS295MUN,ENCLB964APA,,GSE78340,confirmed,"ENCODE experiment record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Forebrain,E15.5,ENCSR752RGN,1,1,ENCBS811RMD,ENCLB373ANW,,GSE78448,confirmed,"ENCODE-linked GEO sample record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
Forebrain,E15.5,ENCSR752RGN,2,1,ENCBS841GER,ENCLB567JQE,,GSE78448,confirmed,"ENCODE-linked GEO sample record; local ENCODE report dated 2024-05-30","Experiment confirmed; exact raw ENCFF/SRA input used for the archived matrix is not recoverable"
