"display","rendered_asset","provenance_class","thesis_source_or_precedent","thesis_source_sha256","manuscript_transformation","regeneration_source","quality_status"
"Figure 1","figures/thesis_delayed_response.pdf","unchanged thesis figure","Chapter3/Figs/Raster/Isoform_Delayed_Response_Pattern.pdf","54d5d214ba508fc6858a662aed8edfe3655aea43e46a626a513a1ab063319479","Reproduced unchanged to show the original delayed-response observation motivating the calibrated extension.","author doctoral thesis","pass; final journal reproduction terms to confirm"
"Figure 2","figures/figure1_dtu_landscape.pdf; figures/figure1_dtu_landscape.png","thesis-derived regeneration","Chapter3/Figs/Raster/upsteR_graph_genes2.pdf","048f25918b44921524b6402a4be487139288b444d1fcc284289209baba2611b4","Recomputed the same regional DTU sets from archived contrast tables; replaced the thesis UpSet display with directly labelled regional and mutually exclusive membership bars.","analysis/run_analysis.R","pass"
"Figure 3","figures/figure2_temporal_dtu.pdf; figures/figure2_temporal_dtu.png","new manuscript figure from thesis archive","No direct thesis display; all 28 stored stage contrasts were recovered from the thesis analysis objects.","not applicable","Added three complete contrast matrices plus an adjacent-stage trajectory panel to expose the E15.5-centred midbrain pattern without selective contrast display.","analysis/run_analysis.R","pass"
"Figure 4","figures/figure6_transient_regional_episodes.pdf; figures/figure6_transient_regional_episodes.png","thesis-method-derived new figure","Chapter3/Figs/Raster/Isoform_Delayed_Response_Pattern.pdf","54d5d214ba508fc6858a662aed8edfe3655aea43e46a626a513a1ab063319479","Extended the thesis heuristic with a globally calibrated diverge--reconverge scan, stage totals and six algorithmically selected reciprocal trajectories.","analysis/run_transient_regional_scan.R","pass"
"Figure 5","figures/figure7_candidate_mechanism.pdf; figures/figure7_candidate_mechanism.png","new manuscript synthesis figure","No direct thesis display; candidate trajectories derive from the thesis-method-calibrated scan and interpretation is cross-referenced to current RefSeq, primary literature and the focused count model.","not applicable","Added an accession-level protein-architecture crosswalk and a counter-audit showing that calibrated-scan strength, effect size, count-model support and protein interpretability nominate different genes.","analysis/create_candidate_mechanism_figure.py; tables/candidate_mechanism_crosswalk.csv; tables/candidate_counter_audit.csv","pass"
"Figure 6","figures/figure3_splicing_architecture.pdf; figures/figure3_splicing_architecture.png","thesis-derived regeneration","Chapter3/Figs/Raster/isoform_type_correlation_final.pdf; Chapter3/Figs/Raster/distribution_isoform_events.pdf","5a775142c0fbedd2d3c59c48662c29f9335b131890b90cb56bc0a23840daf705; 9262fa28bd3a3cd69511d36d8be9a51f6cdfb7a60f7cdc1c0fe4948ae14d3958","Recomputed non-exclusive event prevalence from archived significant isoforms and reduced the thesis composite to the region-comparable quantity supported by the reconstructed analysis.","analysis/run_analysis.R","pass"
"Figure 7","figures/figure4_go_enrichment.pdf; figures/figure4_go_enrichment.png","thesis-analysis-derived new figure","Chapter3 pathway-enrichment analysis and Appendix tables; no directly reused artwork","not applicable","Recomputed GO enrichment with an explicit universe and added a covariate-adjusted sensitivity panel absent from the thesis.","analysis/run_counter_audit.R","pass"
"Figure S1","figures/figureS1_sample_pca.pdf; figures/figureS1_sample_pca.png","new audit figure","No thesis figure","not applicable","Added archive-level PCA with colourblind-safe region colours, redundant stage shapes and direct labels for both E15.5 midbrain samples.","analysis/run_analysis.R","pass"
"Figure S2","figures/figureS2_threshold_robustness.pdf; figures/figureS2_threshold_robustness.png","new audit figure","No thesis figure","not applicable","Added explicit one-criterion-at-a-time threshold comparisons with direct numeric labels and non-colour shape encodings.","analysis/run_counter_audit.R","pass"
"Figure S3","figures/figure5_candidate_trajectories.pdf; figures/figure5_candidate_trajectories.png","thesis-heuristic comparison regenerated from archive","Chapter3 delayed-response and transient-candidate analyses; no directly reused artwork","not applicable","Regenerated the two original heuristic candidates from sample-level fractions with replicate envelopes and relabelled them as a historical comparison rather than the calibrated scan's top candidates.","analysis/run_analysis.R","pass"
"Figure S4","figures/figureS4_e155_artifact_audit.pdf; figures/figureS4_e155_artifact_audit.png","new audit figure","No thesis figure","not applicable","Added a gene-clustered event-class audit and directional transcript-length negative control to test simple structural explanations for the E15.5 discontinuity.","analysis/run_episode_artifact_audit.R","pass"
