"group","coefficient","samples"
"Forebrain_E10_5",0,2
"Forebrain_E11_5",0,2
"Forebrain_E12_5",0,2
"Forebrain_E13_5",0,2
"Forebrain_E14_5",0.25,2
"Forebrain_E15_5",-0.5,2
"Forebrain_E16_5",0.25,2
"Forebrain_P0",0,2
"Hindbrain_E10_5",0,2
"Hindbrain_E11_5",0,2
"Hindbrain_E12_5",0,2
"Hindbrain_E13_5",0,2
"Hindbrain_E14_5",0.25,2
"Hindbrain_E15_5",-0.5,2
"Hindbrain_E16_5",0.25,2
"Hindbrain_P0",0,2
"Midbrain_E10_5",0,2
"Midbrain_E11_5",0,2
"Midbrain_E12_5",0,2
"Midbrain_E13_5",0,2
"Midbrain_E14_5",-0.5,2
"Midbrain_E15_5",1,2
"Midbrain_E16_5",-0.5,2
"Midbrain_P0",0,2
