"gene","isoform_id","stage","mean_IF","min_IF","max_IF"
"Ppp2r3a","NM_001161362","E10.5",0.9789,0.9578,1
"Ppp2r3a","NM_001161362","E11.5",0.98835,0.9798,0.9969
"Ppp2r3a","NM_001161362","E12.5",0.9869,0.9824,0.9914
"Ppp2r3a","NM_001161362","E13.5",0.9871,0.9845,0.9897
"Ppp2r3a","NM_001161362","E14.5",0.9838,0.9771,0.9905
"Ppp2r3a","NM_001161362","E15.5",0.09065,0.0826,0.0987
"Ppp2r3a","NM_001161362","E16.5",0.9893,0.9874,0.9912
"Ppp2r3a","NM_001161362","P0",0.9908,0.9904,0.9912
"Ppp2r3a","NM_172144","E10.5",0.0211,0,0.0422
"Ppp2r3a","NM_172144","E11.5",0.01165,0.0031,0.0202
"Ppp2r3a","NM_172144","E12.5",0.0131,0.0086,0.0176
"Ppp2r3a","NM_172144","E13.5",0.0129,0.0103,0.0155
"Ppp2r3a","NM_172144","E14.5",0.0162,0.0095,0.0229
"Ppp2r3a","NM_172144","E15.5",0.90935,0.9013,0.9174
"Ppp2r3a","NM_172144","E16.5",0.0107,0.0088,0.0126
"Ppp2r3a","NM_172144","P0",0.0092,0.0088,0.0096
"Rtn2","NM_001025364","E10.5",0.1095,0.0614,0.1576
"Rtn2","NM_001025364","E11.5",0.1432,0.1324,0.154
"Rtn2","NM_001025364","E12.5",0.05245,0,0.1049
"Rtn2","NM_001025364","E13.5",0.0897,0.0764,0.103
"Rtn2","NM_001025364","E14.5",0.21615,0.1509,0.2814
"Rtn2","NM_001025364","E15.5",0.9843,0.973,0.9956
"Rtn2","NM_001025364","E16.5",0.0286,0,0.0572
"Rtn2","NM_001025364","P0",0.11715,0.081,0.1533
"Rtn2","NM_013648","E10.5",0.8905,0.8424,0.9386
"Rtn2","NM_013648","E11.5",0.8568,0.846,0.8676
"Rtn2","NM_013648","E12.5",0.94755,0.8951,1
"Rtn2","NM_013648","E13.5",0.9103,0.897,0.9236
"Rtn2","NM_013648","E14.5",0.78385,0.7186,0.8491
"Rtn2","NM_013648","E15.5",0.0157,0.0044,0.027
"Rtn2","NM_013648","E16.5",0.9714,0.9428,1
"Rtn2","NM_013648","P0",0.88285,0.8467,0.919
