"comparison","region_pair","stage","replicate","pearson_log1p"
"Within-region biological replicates","Forebrain","E10.5","1 versus 2",0.978995675442381
"Within-region biological replicates","Forebrain","E11.5","1 versus 2",0.982199067740752
"Within-region biological replicates","Forebrain","E12.5","1 versus 2",0.978616420174599
"Within-region biological replicates","Forebrain","E13.5","1 versus 2",0.979112132663643
"Within-region biological replicates","Forebrain","E14.5","1 versus 2",0.976804106539721
"Within-region biological replicates","Forebrain","E15.5","1 versus 2",0.97706446353293
"Within-region biological replicates","Forebrain","E16.5","1 versus 2",0.981504685890535
"Within-region biological replicates","Forebrain","P0","1 versus 2",0.984236547920009
"Within-region biological replicates","Hindbrain","E10.5","1 versus 2",0.978670303607812
"Within-region biological replicates","Hindbrain","E11.5","1 versus 2",0.982175787212793
"Within-region biological replicates","Hindbrain","E12.5","1 versus 2",0.978533452727334
"Within-region biological replicates","Hindbrain","E13.5","1 versus 2",0.975807501593621
"Within-region biological replicates","Hindbrain","E14.5","1 versus 2",0.977013927316291
"Within-region biological replicates","Hindbrain","E15.5","1 versus 2",0.978348569609812
"Within-region biological replicates","Hindbrain","E16.5","1 versus 2",0.980073606120899
"Within-region biological replicates","Hindbrain","P0","1 versus 2",0.984244282193191
"Within-region biological replicates","Midbrain","E10.5","1 versus 2",0.985200024746361
"Within-region biological replicates","Midbrain","E11.5","1 versus 2",0.982991418729945
"Within-region biological replicates","Midbrain","E12.5","1 versus 2",0.980524143857132
"Within-region biological replicates","Midbrain","E13.5","1 versus 2",0.976996868278139
"Within-region biological replicates","Midbrain","E14.5","1 versus 2",0.970256831182681
"Within-region biological replicates","Midbrain","E15.5","1 versus 2",0.978216561460317
"Within-region biological replicates","Midbrain","E16.5","1 versus 2",0.97812755250359
"Within-region biological replicates","Midbrain","P0","1 versus 2",0.981097246820217
"Same-stage cross-region replicate combinations","Forebrain vs Hindbrain","E10.5","1 versus 1",0.998214577502749
"Same-stage cross-region replicate combinations","Forebrain vs Hindbrain","E10.5","1 versus 2",0.978481006632248
"Same-stage cross-region replicate combinations","Forebrain vs Hindbrain","E10.5","2 versus 1",0.980075119165151
"Same-stage cross-region replicate combinations","Forebrain vs Hindbrain","E10.5","2 versus 2",0.997702538301683
"Same-stage cross-region replicate combinations","Forebrain vs Hindbrain","E11.5","1 versus 1",0.997854756649652
"Same-stage cross-region replicate combinations","Forebrain vs Hindbrain","E11.5","1 versus 2",0.982197113052801
"Same-stage cross-region replicate combinations","Forebrain vs Hindbrain","E11.5","2 versus 1",0.98177821384073
