"sample_id","region","sample","stage","replicate","PC1","PC2","stage_label","PC1_variance_percent","PC2_variance_percent"
"Forebrain__0_1","Forebrain","0_1","0","1",-44.5850287561117,-8.22659334351684,"P0",39.6490490340325,9.77738302294777
"Forebrain__0_2","Forebrain","0_2","0","2",-47.7085510126899,-10.1501664292478,"P0",39.6490490340325,9.77738302294777
"Forebrain__10.5_1","Forebrain","10.5_1","10.5","1",52.5039041075227,11.9834916143778,"E10.5",39.6490490340325,9.77738302294777
"Forebrain__10.5_2","Forebrain","10.5_2","10.5","2",65.9914712742095,5.00854688191368,"E10.5",39.6490490340325,9.77738302294777
"Forebrain__11.5_1","Forebrain","11.5_1","11.5","1",47.0946012337134,10.6556277196373,"E11.5",39.6490490340325,9.77738302294777
"Forebrain__11.5_2","Forebrain","11.5_2","11.5","2",47.5597216096324,13.3658838970704,"E11.5",39.6490490340325,9.77738302294777
"Forebrain__12.5_1","Forebrain","12.5_1","12.5","1",24.850926398359,10.9300171323455,"E12.5",39.6490490340325,9.77738302294777
"Forebrain__12.5_2","Forebrain","12.5_2","12.5","2",26.0717001746357,6.77488620461787,"E12.5",39.6490490340325,9.77738302294777
"Forebrain__13.5_1","Forebrain","13.5_1","13.5","1",-16.9819053630547,6.54036715168564,"E13.5",39.6490490340325,9.77738302294777
"Forebrain__13.5_2","Forebrain","13.5_2","13.5","2",-16.4423516681413,5.39410704042486,"E13.5",39.6490490340325,9.77738302294777
"Forebrain__14.5_1","Forebrain","14.5_1","14.5","1",-35.6806084897231,-0.247403192159443,"E14.5",39.6490490340325,9.77738302294777
"Forebrain__14.5_2","Forebrain","14.5_2","14.5","2",-38.2069251416087,1.31353758302329,"E14.5",39.6490490340325,9.77738302294777
"Forebrain__15.5_1","Forebrain","15.5_1","15.5","1",-35.2400570931948,1.19885196335924,"E15.5",39.6490490340325,9.77738302294777
"Forebrain__15.5_2","Forebrain","15.5_2","15.5","2",-38.8301398704934,0.50737913003704,"E15.5",39.6490490340325,9.77738302294777
"Forebrain__16.5_1","Forebrain","16.5_1","16.5","1",-39.2228595342243,-10.4827594968902,"E16.5",39.6490490340325,9.77738302294777
"Forebrain__16.5_2","Forebrain","16.5_2","16.5","2",-44.7483838782456,-7.24228191867633,"E16.5",39.6490490340325,9.77738302294777
"Hindbrain__0_1","Hindbrain","0_1","0","1",-44.3438143723668,-8.76253033289209,"P0",39.6490490340325,9.77738302294777
"Hindbrain__0_2","Hindbrain","0_2","0","2",-48.2734358635863,-8.68106853212692,"P0",39.6490490340325,9.77738302294777
"Hindbrain__10.5_1","Hindbrain","10.5_1","10.5","1",52.5346478955948,12.7906852910513,"E10.5",39.6490490340325,9.77738302294777
"Hindbrain__10.5_2","Hindbrain","10.5_2","10.5","2",65.1549931812028,5.16438266652556,"E10.5",39.6490490340325,9.77738302294777
"Hindbrain__11.5_1","Hindbrain","11.5_1","11.5","1",47.295361429467,11.6582457288348,"E11.5",39.6490490340325,9.77738302294777
"Hindbrain__11.5_2","Hindbrain","11.5_2","11.5","2",47.8640244825716,13.4798478054016,"E11.5",39.6490490340325,9.77738302294777
"Hindbrain__12.5_1","Hindbrain","12.5_1","12.5","1",25.0036050798684,11.0091777468235,"E12.5",39.6490490340325,9.77738302294777
"Hindbrain__12.5_2","Hindbrain","12.5_2","12.5","2",25.7155886009107,6.93386098336354,"E12.5",39.6490490340325,9.77738302294777
"Hindbrain__13.5_1","Hindbrain","13.5_1","13.5","1",-16.6412487781124,5.54859273720957,"E13.5",39.6490490340325,9.77738302294777
"Hindbrain__13.5_2","Hindbrain","13.5_2","13.5","2",-15.4476094387753,5.57905568038633,"E13.5",39.6490490340325,9.77738302294777
"Hindbrain__14.5_1","Hindbrain","14.5_1","14.5","1",-35.9962448267534,-0.113801204662917,"E14.5",39.6490490340325,9.77738302294777
"Hindbrain__14.5_2","Hindbrain","14.5_2","14.5","2",-37.7844388075851,0.670597506951993,"E14.5",39.6490490340325,9.77738302294777
"Hindbrain__15.5_1","Hindbrain","15.5_1","15.5","1",-34.9675554505215,2.06350149058092,"E15.5",39.6490490340325,9.77738302294777
"Hindbrain__15.5_2","Hindbrain","15.5_2","15.5","2",-39.1852661603352,0.225896248845333,"E15.5",39.6490490340325,9.77738302294777
"Hindbrain__16.5_1","Hindbrain","16.5_1","16.5","1",-38.8093415689854,-10.5172583478239,"E16.5",39.6490490340325,9.77738302294777
"Hindbrain__16.5_2","Hindbrain","16.5_2","16.5","2",-44.5513815465147,-7.16735056665541,"E16.5",39.6490490340325,9.77738302294777
"Midbrain__0_1","Midbrain","0_1","0","1",-48.7206926848112,-6.67306997670054,"P0",39.6490490340325,9.77738302294777
"Midbrain__0_2","Midbrain","0_2","0","2",-49.7626770337952,-6.71578132822166,"P0",39.6490490340325,9.77738302294777
"Midbrain__10.5_1","Midbrain","10.5_1","10.5","1",66.7049775212409,9.70142082217231,"E10.5",39.6490490340325,9.77738302294777
"Midbrain__10.5_2","Midbrain","10.5_2","10.5","2",57.4113213276595,11.1979548567775,"E10.5",39.6490490340325,9.77738302294777
"Midbrain__11.5_1","Midbrain","11.5_1","11.5","1",50.3227983866281,14.8429225001561,"E11.5",39.6490490340325,9.77738302294777
"Midbrain__11.5_2","Midbrain","11.5_2","11.5","2",52.1542485991523,13.4966268880118,"E11.5",39.6490490340325,9.77738302294777
"Midbrain__12.5_1","Midbrain","12.5_1","12.5","1",35.3850394504967,14.1085855221856,"E12.5",39.6490490340325,9.77738302294777
"Midbrain__12.5_2","Midbrain","12.5_2","12.5","2",33.1917660617455,14.671289426885,"E12.5",39.6490490340325,9.77738302294777
"Midbrain__13.5_1","Midbrain","13.5_1","13.5","1",-1.39903372320173,12.5023108421391,"E13.5",39.6490490340325,9.77738302294777
"Midbrain__13.5_2","Midbrain","13.5_2","13.5","2",-0.618725095066536,13.9756609316006,"E13.5",39.6490490340325,9.77738302294777
"Midbrain__14.5_1","Midbrain","14.5_1","14.5","1",-31.1291539227729,8.80970692625911,"E14.5",39.6490490340325,9.77738302294777
"Midbrain__14.5_2","Midbrain","14.5_2","14.5","2",-22.3088586571194,7.91778320599992,"E14.5",39.6490490340325,9.77738302294777
"Midbrain__15.5_1","Midbrain","15.5_1","15.5","1",63.6804337835771,-96.7027241892598,"E15.5",39.6490490340325,9.77738302294777
"Midbrain__15.5_2","Midbrain","15.5_2","15.5","2",60.3177489944289,-90.0632018168084,"E15.5",39.6490490340325,9.77738302294777
"Midbrain__16.5_1","Midbrain","16.5_1","16.5","1",-43.7042560117721,-0.0960918937146959,"E16.5",39.6490490340325,9.77738302294777
"Midbrain__16.5_2","Midbrain","16.5_2","16.5","2",-35.518334843055,1.82128044270292,"E16.5",39.6490490340325,9.77738302294777
