"tissue","event","isoforms","total_isoforms","prevalence"
"Forebrain","ES",1916,4920,0.389430894308943
"Forebrain","MEE",55,4920,0.0111788617886179
"Forebrain","MES",453,4920,0.0920731707317073
"Forebrain","IR",238,4920,0.0483739837398374
"Forebrain","A5",828,4920,0.168292682926829
"Forebrain","A3",780,4920,0.158536585365854
"Forebrain","ATSS",1163,4920,0.236382113821138
"Forebrain","ATTS",537,4920,0.109146341463415
"Hindbrain","ES",1912,4890,0.391002044989775
"Hindbrain","MEE",55,4890,0.0112474437627812
"Hindbrain","MES",452,4890,0.0924335378323108
"Hindbrain","IR",238,4890,0.0486707566462168
"Hindbrain","A5",822,4890,0.168098159509202
"Hindbrain","A3",775,4890,0.158486707566462
"Hindbrain","ATSS",1155,4890,0.236196319018405
"Hindbrain","ATTS",522,4890,0.106748466257669
"Midbrain","ES",2111,5312,0.397402108433735
"Midbrain","MEE",63,5312,0.0118599397590361
"Midbrain","MES",498,5312,0.09375
"Midbrain","IR",249,5312,0.046875
"Midbrain","A5",868,5312,0.163403614457831
"Midbrain","A3",831,5312,0.156438253012048
"Midbrain","ATSS",1278,5312,0.24058734939759
"Midbrain","ATTS",577,5312,0.108621987951807
