"tissue","early_i","late_i","early","late","genes"
"Forebrain",1,2,"10.5","11.5",180
"Forebrain",1,3,"10.5","12.5",357
"Forebrain",1,4,"10.5","13.5",679
"Forebrain",1,5,"10.5","14.5",891
"Forebrain",1,6,"10.5","15.5",824
"Forebrain",1,7,"10.5","16.5",944
"Forebrain",1,8,"10.5","0",1080
"Forebrain",2,3,"11.5","12.5",272
"Forebrain",2,4,"11.5","13.5",745
"Forebrain",2,5,"11.5","14.5",739
"Forebrain",2,6,"11.5","15.5",786
"Forebrain",2,7,"11.5","16.5",837
"Forebrain",2,8,"11.5","0",1049
"Forebrain",3,4,"12.5","13.5",461
"Forebrain",3,5,"12.5","14.5",724
"Forebrain",3,6,"12.5","15.5",671
"Forebrain",3,7,"12.5","16.5",769
"Forebrain",3,8,"12.5","0",1113
"Forebrain",4,5,"13.5","14.5",289
"Forebrain",4,6,"13.5","15.5",185
"Forebrain",4,7,"13.5","16.5",276
"Forebrain",4,8,"13.5","0",708
"Forebrain",5,6,"14.5","15.5",182
"Forebrain",5,7,"14.5","16.5",230
"Forebrain",5,8,"14.5","0",623
"Forebrain",6,7,"15.5","16.5",104
"Forebrain",6,8,"15.5","0",576
"Forebrain",7,8,"16.5","0",569
"Hindbrain",1,2,"10.5","11.5",179
"Hindbrain",1,3,"10.5","12.5",356
"Hindbrain",1,4,"10.5","13.5",677
"Hindbrain",1,5,"10.5","14.5",888
"Hindbrain",1,6,"10.5","15.5",824
"Hindbrain",1,7,"10.5","16.5",943
"Hindbrain",1,8,"10.5","0",1079
"Hindbrain",2,3,"11.5","12.5",274
"Hindbrain",2,4,"11.5","13.5",618
"Hindbrain",2,5,"11.5","14.5",743
"Hindbrain",2,6,"11.5","15.5",785
"Hindbrain",2,7,"11.5","16.5",835
"Hindbrain",2,8,"11.5","0",1049
"Hindbrain",3,4,"12.5","13.5",455
"Hindbrain",3,5,"12.5","14.5",723
"Hindbrain",3,6,"12.5","15.5",676
"Hindbrain",3,7,"12.5","16.5",766
"Hindbrain",3,8,"12.5","0",1116
"Hindbrain",4,5,"13.5","14.5",298
"Hindbrain",4,6,"13.5","15.5",188
"Hindbrain",4,7,"13.5","16.5",279
"Hindbrain",4,8,"13.5","0",709
"Hindbrain",5,6,"14.5","15.5",180
"Hindbrain",5,7,"14.5","16.5",231
"Hindbrain",5,8,"14.5","0",620
"Hindbrain",6,7,"15.5","16.5",107
"Hindbrain",6,8,"15.5","0",581
"Hindbrain",7,8,"16.5","0",565
"Midbrain",1,2,"10.5","11.5",260
"Midbrain",1,3,"10.5","12.5",375
"Midbrain",1,4,"10.5","13.5",646
"Midbrain",1,5,"10.5","14.5",885
"Midbrain",1,6,"10.5","15.5",685
"Midbrain",1,7,"10.5","16.5",972
"Midbrain",1,8,"10.5","0",1162
"Midbrain",2,3,"11.5","12.5",288
"Midbrain",2,4,"11.5","13.5",652
"Midbrain",2,5,"11.5","14.5",759
"Midbrain",2,6,"11.5","15.5",769
"Midbrain",2,7,"11.5","16.5",890
"Midbrain",2,8,"11.5","0",1119
"Midbrain",3,4,"12.5","13.5",370
"Midbrain",3,5,"12.5","14.5",706
"Midbrain",3,6,"12.5","15.5",677
"Midbrain",3,7,"12.5","16.5",742
"Midbrain",3,8,"12.5","0",1028
"Midbrain",4,5,"13.5","14.5",225
"Midbrain",4,6,"13.5","15.5",797
"Midbrain",4,7,"13.5","16.5",341
"Midbrain",4,8,"13.5","0",760
"Midbrain",5,6,"14.5","15.5",941
"Midbrain",5,7,"14.5","16.5",208
"Midbrain",5,8,"14.5","0",608
"Midbrain",6,7,"15.5","16.5",1011
"Midbrain",6,8,"15.5","0",1082
"Midbrain",7,8,"16.5","0",525
