"region","start_stage","end_stage","direction","episodes"
"Midbrain","11.5","11.5","higher",22
"Midbrain","11.5","11.5","lower",14
"Midbrain","11.5","12.5","higher",1
"Midbrain","11.5","12.5","lower",3
"Midbrain","12.5","12.5","higher",14
"Midbrain","12.5","12.5","lower",13
"Midbrain","12.5","13.5","higher",2
"Midbrain","12.5","13.5","lower",1
"Midbrain","12.5","14.5","lower",1
"Midbrain","13.5","13.5","higher",7
"Midbrain","13.5","13.5","lower",11
"Midbrain","14.5","14.5","higher",10
"Midbrain","14.5","14.5","lower",15
"Midbrain","14.5","15.5","higher",4
"Midbrain","14.5","15.5","lower",4
"Midbrain","15.5","15.5","higher",580
"Midbrain","15.5","15.5","lower",623
"Midbrain","15.5","16.5","higher",2
"Midbrain","15.5","16.5","lower",3
"Midbrain","16.5","16.5","higher",8
"Midbrain","16.5","16.5","lower",10
