"gene_id","gene_name","region","start_stage","end_stage","isoform_id","direction","worst_pair_q","max_abs_usage_difference","replicate_separation"
"Armc8","Armc8","Midbrain","15.5","15.5","NM_028768","higher",2.28837289584878e-14,0.4992,0.485
"Armc8","Armc8","Midbrain","15.5","15.5","NM_001166138","lower",2.62739841815944e-14,0.4992,0.485
"Bin1","Bin1","Midbrain","15.5","15.5","NM_001083334","higher",6.48253732905685e-14,0.73465,0.712
"Bin1","Bin1","Midbrain","15.5","15.5","NM_009668","lower",6.48253732905685e-14,0.73465,0.712
"Gpm6a","Gpm6a","Midbrain","15.5","15.5","NM_001253754","higher",3.03609846176557e-17,0.5719,0.5672
"Gpm6a","Gpm6a","Midbrain","15.5","15.5","NM_153581","lower",3.03609846176557e-17,0.5715,0.5668
"Ntrk2","Ntrk2","Midbrain","15.5","15.5","NM_008745","higher",4.49649559396648e-15,0.49275,0.4897
"Ntrk2","Ntrk2","Midbrain","15.5","15.5","NM_001025074","lower",4.19446801001808e-15,0.49275,0.4897
"Scg3","Scg3","Midbrain","15.5","15.5","NM_009130","higher",2.69939487499784e-22,0.605825,0.5955
"Scg3","Scg3","Midbrain","15.5","15.5","NM_001164790","lower",2.69939487499784e-22,0.605825,0.5955
"Tecr","Tecr","Midbrain","15.5","15.5","NM_134118","higher",1.4174204413244e-14,0.51175,0.4983
"Tecr","Tecr","Midbrain","15.5","15.5","NM_027179","lower",1.70389701200499e-14,0.51175,0.4983
