"manuscript_asset","source_package","source_asset","identity_verified","role"
"figures/figure01_framework_overview.pdf","dtu_analysis","analysis/create_framework_overview_figure.py; tables/transient_regional_sensitivity.csv; tables/transient_regional_dependence_sensitivity.csv; tables/transient_regional_top_candidates.csv","True","main Figure 1; generated framework and application overview"
"figures/figure01_repaired_dtu_landscape.pdf","dtu_analysis","figures/figure1_dtu_landscape.pdf","True","retained audited asset; not displayed in the revised paper"
"figures/figure02_repaired_temporal_dtu.pdf","dtu_analysis","figures/figure2_temporal_dtu.pdf","True","main Figure 3"
"figures/figure03_repaired_transient_episodes.pdf","dtu_analysis","figures/figure6_transient_regional_episodes.pdf panels A/B; figures/figure5_candidate_trajectories.pdf historical comparison","False","supplementary Figure S3 composite of existing assets"
"figures/figure04_repaired_candidate_mechanism.pdf","dtu_analysis","figures/figure7_candidate_mechanism.pdf","True","main Figure 6"
"figures/figure05_repaired_methylation_audit.pdf","methylation_analysis","figures/figure1_inferential_audit.pdf","True","retained audited asset; not displayed in the revised paper"
"figures/figure06_repaired_gnao1.pdf","methylation_analysis","figures/figure2_gnao1_composition.pdf","True","main Figure 9"
"figures/figure07_repaired_taok3.pdf","methylation_analysis","figures/figure3_taok3_sensitivity.pdf","True","retained audited asset; not displayed in the revised paper"
"figures/figure08_repaired_archived_robustness.pdf","methylation_analysis","figures/figure4_archived_robustness.pdf","True","retained audited asset; not displayed in the revised paper"
"figures/figureS1_repaired_sample_pca.pdf","dtu_analysis","figures/figureS1_sample_pca.pdf","True","retained audited asset; not displayed in the revised paper"
"figures/figureS2_repaired_thresholds.pdf","dtu_analysis","figures/figureS2_threshold_robustness.pdf","True","supplementary Figure S1"
"figures/figureS3_repaired_splicing_architecture.pdf","dtu_analysis","figures/figure3_splicing_architecture.pdf","True","retained audited asset; not displayed in the revised paper"
"figures/figureS4_repaired_go_enrichment.pdf","dtu_analysis","figures/figure4_go_enrichment.pdf","True","supplementary Figure S2"
"figures/figureS5_repaired_e155_artifact.pdf","dtu_analysis","figures/figureS4_e155_artifact_audit.pdf with editorial panel-title relabelling","False","retained analysis asset; not displayed in the revised paper"
"figures/figureS6_repaired_calibrated_candidates.pdf","dtu_analysis","figures/figure6b_top_candidate_trajectories.pdf","True","main Figure 5; trajectory panel only"
"figures/figure_thesis_dtu_upset.pdf","post_viva_thesis","../../phd-finalisation/Phd_Thesis_Genetics___post_viva_corrections/Chapter3/Figs/Raster/upsteR_graph_genes2.pdf","True","supplementary Figure S4"
"figures/figure_thesis_archived_bh.pdf","post_viva_thesis","../../phd-finalisation/Phd_Thesis_Genetics___post_viva_corrections/Chapter3/Figs/Raster/BH_corrected_raw_expression_methylation_final.pdf","True","supplementary Figure S9"
"figures/figureS7_thesis_dtu_attributes.pdf","post_viva_thesis","../../phd-finalisation/Phd_Thesis_Genetics___post_viva_corrections/Chapter3/Figs/Raster/DTU_attributes.pdf","True","supplementary Figure S5"
"figures/figureS8_thesis_delayed_response.pdf","post_viva_thesis","../../phd-finalisation/Phd_Thesis_Genetics___post_viva_corrections/Chapter3/Figs/Raster/Isoform_Delayed_Response_Pattern.pdf","True","main Figure 4"
"figures/figureS9_thesis_dmr_overview.pdf","post_viva_thesis","../../phd-finalisation/Phd_Thesis_Genetics___post_viva_corrections/Chapter3/Figs/Raster/dmr_statistics_overview.pdf","True","main Figure 7, top asset"
"figures/figureS10_thesis_dmr_temporal.pdf","post_viva_thesis","../../phd-finalisation/Phd_Thesis_Genetics___post_viva_corrections/Chapter3/Figs/Raster/dmr_cross_temporal (1).pdf","True","main Figure 7, bottom asset"
"figures/figureS11_thesis_switch_methylation.pdf","post_viva_thesis","../../phd-finalisation/Phd_Thesis_Genetics___post_viva_corrections/Chapter3/Figs/Raster/methylation_by_switch_type_gene_body.pdf","True","supplementary Figure S8"
"figures/figureS12_thesis_shtn1.pdf","post_viva_thesis","../../phd-finalisation/Phd_Thesis_Genetics___post_viva_corrections/Chapter3/Figs/Raster/Shtn1_metyhlation_expression_final.pdf","False","main Figure 8; terminology-only overlay identifies relative transcript fraction"
"figures/figure_thesis_isoform_counts.pdf","post_viva_thesis","../../phd-finalisation/Phd_Thesis_Genetics___post_viva_corrections/Chapter3/Figs/Raster/distribution_genes_number_isoforms.pdf","True","supplementary Figure S6"
"figures/figure_thesis_splicing_identity.pdf","post_viva_thesis","../../phd-finalisation/Phd_Thesis_Genetics___post_viva_corrections/Chapter3/Figs/Raster/isoform_type_correlation_final.pdf","True","main Figure 2"
"figures/figure_thesis_temporal_events.pdf","post_viva_thesis","../../phd-finalisation/Phd_Thesis_Genetics___post_viva_corrections/Chapter3/Figs/Raster/distribution_isoform_events.pdf","False","supplementary Figure S7; E0 label corrected to E16.5 versus P0"
"figures/figure_thesis_archived_repif_bh.pdf","post_viva_thesis","../../phd-finalisation/Phd_Thesis_Genetics___post_viva_corrections/Chapter3/Figs/Raster/BH_corrected_repif_expression_methylation_final.pdf","True","supplementary Figure S10"
"figures/figure_thesis_midbrain_volcano.pdf","post_viva_thesis","../../phd-finalisation/Phd_Thesis_Genetics___post_viva_corrections/Chapter3/Figs/Raster/midbrain_methylation_expression_volcano_enhanced.pdf","True","retained thesis asset; not displayed because its generic volcano axes do not match the correlation statistic"
"figures/figure_thesis_weighted_candidates.pdf","post_viva_thesis","../../phd-finalisation/Phd_Thesis_Genetics___post_viva_corrections/Chapter3/Figs/Raster/top_divergent_isoforms_publication_meth_weighted.pdf","True","supplementary Figure S11"
"figures/figureS7_thesis_hmm_enrichment.pdf","post_viva_thesis","../../phd-finalisation/Phd_Thesis_Genetics___post_viva_corrections/Chapter3/Figs/Raster/hmm_sate_enrichment.pdf","True","supplementary Figure S12"
"figures/figureS8_thesis_switch_hmm.pdf","post_viva_thesis","../../phd-finalisation/Phd_Thesis_Genetics___post_viva_corrections/Chapter3/Figs/Raster/switch_type_hmm_states2.pdf","True","supplementary Figure S13"
"figures/figureS9_thesis_methylation_divergence.pdf","post_viva_thesis","../../phd-finalisation/Phd_Thesis_Genetics___post_viva_corrections/Chapter3/Figs/Raster/advanced_methylation_difference_distribution_with_pvalues.pdf","True","supplementary Figure S14"
