gene_id,isoform_id,region,tissue,archived_r,archived_p,archived_q,raw_weighted_r,raw_weighted_p,raw_unweighted_r,raw_unweighted_p,strand_sensitive_r,strand_sensitive_p,spearman_rho,linear_detrended_r,linear_detrended_p,first_difference_r,first_difference_p,isoform_absolute_expression_r,isoform_absolute_expression_p,gene_total_expression_r,gene_total_expression_p,loo_min_r,loo_max_r,loo_same_sign_fraction,methylation_replicate_reliability,usage_replicate_reliability,n_complete_stages,median_cpg,min_cpg,median_coverage,strand_cpg_gain,strand_sensitive_cpg,raw_weighted_exact_permutation_p,detrended_exact_permutation_p,difference_exact_permutation_p,raw_global_q,unweighted_global_q,strand_sensitive_global_q,detrended_global_q,difference_global_q,raw_weighted_exact_global_q,detrended_exact_global_q,difference_exact_global_q,archived_sign_reproduced,raw_nominal_reproduced,selection_origin,stage_permutation_p,circular_abs_rank,bootstrap_median_r,bootstrap_low_r,bootstrap_high_r,bootstrap_archived_sign_probability,detrended_same_sign,difference_same_sign,bootstrap_interval_excludes_zero,hostile_support_score
Gnao1,NM_001113384,upstream,ForeBrain,0.25143089506649,0.548058799155074,0.767912106938358,0.9857601854485475,7.141726437816928e-06,0.924572359020943,0.001013056349986853,0.10522816430529379,0.8041488385759479,0.9523809523809523,0.8999183100938487,0.002321783665712614,0.8548890133822408,0.014225916265437672,0.007644536005612324,0.9856670534028245,-0.9111596287745919,0.0016382316929343555,0.9631780607811495,0.9967540671760683,1.0,0.7900560433424277,0.998962008516983,8,84.5,70.0,681.5,37.0,47.5,0.00034722222222222224,0.009250992063492064,0.008060515873015874,0.03822980998784311,0.16728590738333968,0.9725375104723986,0.3965082678008589,0.6564244219623383,0.27247023809523807,0.9348048062310029,0.9952985992560824,True,True,reconstructed_only,0.00034722222222222224,1,0.938194176541544,0.8656611377482505,0.9864414412014252,1.0,True,True,True,10
Taok3,NM_001199685,gene_body,ForeBrain,0.737991684433402,0.0365930092550905,0.202049931164789,0.9838313010217311,1.0439598576691181e-05,0.8793903002297346,0.003998991240468006,0.9838313010217311,1.0439598576691181e-05,0.9761904761904762,0.9679157662386999,8.05945058849323e-05,0.9712008017286191,0.0002661775016042862,-0.0168227245317154,0.9684633421219684,-0.5676025988738358,0.1422347904085531,0.9567303817524391,0.9949327619996419,1.0,0.34294203556532493,0.5144351771028012,8,171.0,169.0,1734.0,0.0,171.0,9.92063492063492e-05,0.0004464285714285714,0.0007192460317460318,0.03822980998784311,0.22093899742801262,0.11468942996352932,0.07378427013765552,0.2923161322618271,0.1816468253968254,0.44586038961038965,0.6963128306878308,True,True,reconstructed_only,9.92063492063492e-05,1,0.738846175161095,0.46806469005575896,0.9055531667654425,1.0,True,True,True,9
Psap,NM_011179,downstream,ForeBrain,-0.957587448581662,0.0001847162392671,0.0313779378023223,-0.9649315195744868,0.00010500202753979473,-0.9549950215366267,0.00022026528020263757,-0.9240419934411495,0.0010341541084659448,-0.9523809523809523,-0.6234415323410295,0.0986265605134479,-0.40825398529077483,0.3632101131060225,-0.9594582310765329,0.0001615653703935735,-0.95733310321996,0.000188022990534227,-0.9952380319679272,-0.9453046912675416,1.0,0.5988223151601155,0.9470670324062841,8,77.0,76.0,692.5,59.0,18.0,0.0001984126984126984,0.1385168650793651,0.23020833333333332,0.1861255117261344,0.13440395587104934,0.3428636535448618,0.7279280642950565,0.8910483074198734,0.2421957671957672,0.9779538523274478,0.9952985992560824,True,True,archived_only,0.0001984126984126984,1,-0.8894261919702813,-0.9854173106408353,-0.6770494785394652,1.0,True,True,True,10
Myo18a,NM_011586,gene_body,ForeBrain,0.935680486014185,0.0006335471690827,0.0409444844296338,0.9042746581830582,0.0020384862599533015,0.9768724536120528,3.039239504873093e-05,0.9042746581830582,0.0020384862599533015,0.9761904761904762,0.5867586262390468,0.12626205371245322,0.7567470581810346,0.048924261419196674,0.7865511317166795,0.02058616531169433,0.17390974213964963,0.6804343658308445,0.8847330436813172,0.9366073683085719,1.0,0.5033584284645451,0.9265875607439198,8,254.0,252.0,2448.5,0.0,254.0,0.0003224206349206349,0.16758432539682538,0.060069444444444446,0.3433914060833611,0.11129695066845267,0.35635484205781515,0.749972902638593,0.734688552044914,0.27247023809523807,0.9779538523274478,0.9952985992560824,True,True,archived_only,0.0003224206349206349,1,0.7726577206604985,0.5484934540346261,0.9603978295992825,1.0,True,True,True,10
Vti1a,NM_001293685,gene_body,ForeBrain,-0.943427827739148,0.0004336478244272,0.0386712448368348,-0.9324746172076115,0.0007312788703397484,-0.9419142078368467,0.0004688514472105351,-0.9492433639904638,0.0003145846608371121,-0.8095238095238095,-0.7235936813454561,0.04245451201431492,-0.3980034682862047,0.3765470601438981,-0.9332884235273958,0.0007055972981772929,-0.8650093306321709,0.005543861259283808,-0.9587943758384587,-0.8686021581881374,1.0,0.8329283144105378,0.8817769913855242,8,179.0,175.0,2121.0,42.0,137.0,0.001636904761904762,0.06599702380952381,0.2962549603174603,0.3433914060833611,0.16096256247046684,0.3428636535448618,0.6277544367403568,0.8944927134977912,0.3458276098901099,0.9685819095079892,0.9952985992560824,True,True,archived_only,0.001636904761904762,1,-0.8796294996599356,-0.9659914822468987,-0.7510233353798751,1.0,True,True,True,10
Ss18,NM_001161369,gene_body,ForeBrain,0.941414877703349,0.0004808631615472,0.0396897055646312,0.901539274101539,0.0022135732107330464,0.8719326695955714,0.004759700407389599,0.901539274101539,0.0022135732107330464,0.8809523809523809,0.1385362662771073,0.743548901313021,0.032292762002690226,0.9452066848264862,0.8777993691118411,0.004154157703274734,0.8858607955588491,0.003406479680714917,0.8801995140967811,0.9399848407665662,1.0,0.9055167212208614,0.91279007961257,8,83.0,82.0,953.5,0.0,83.0,0.0038194444444444443,0.7596230158730158,0.9493799603174603,0.3433914060833611,0.2264143206025668,0.35635484205781515,0.9691100047247418,0.9953629791954827,0.3839353354978355,0.9993058090540707,0.9997015587246041,True,True,archived_only,0.0038194444444444443,1,0.7949021548301136,0.6434600425830347,0.9191751102352874,1.0,True,True,True,10
Rapgef4,NM_019688,gene_body,ForeBrain,-0.974956452497295,3.85331403659817e-05,0.0187017672181655,-0.9392916081144633,0.0005341944344562855,-0.9588843249422052,0.00016845070545424824,-0.9392916081144633,0.0005341944344562855,-0.8333333333333334,-0.4663718504263007,0.24407563358023607,0.12269027718319532,0.7932786211285511,-0.885991929530278,0.003395099829982769,-0.9193455349098095,0.0012336077580754668,-0.9712958717004643,-0.9057842355883194,1.0,0.9032864038739493,0.9914427060190796,8,186.0,181.0,2902.5,0.0,186.0,0.0009176587301587302,0.2895337301587302,0.8130704365079365,0.3433914060833611,0.13440395587104934,0.3428636535448618,0.8195619787620082,0.9799185452335419,0.31375360750360753,0.9842788299570828,0.9997015587246041,True,True,archived_only,0.0009176587301587302,1,-0.9201965118466873,-0.9625059089534401,-0.8636909125579093,1.0,True,False,True,9
Pnoc,NM_001205075,gene_body,ForeBrain,0.967881365061323,8.0851917957638e-05,0.0228300284127756,0.9082270119767034,0.001801783229199157,0.8367818664449169,0.009583147075557612,0.9345632809900302,0.0006665656106778043,0.7857142857142857,0.9243425713795954,0.0010221623566166725,0.8290133838999384,0.021128680331898953,-0.8110778591232488,0.014559030677459422,-0.847710569429704,0.007851974912904947,0.843300429098897,0.9809922657222088,1.0,0.7736885043982548,0.34218093005227473,8,56.0,55.0,718.5,6.0,50.0,0.002951388888888889,0.0015376984126984127,0.012698412698412698,0.3433914060833611,0.27351928813562015,0.3428636535448618,0.33374139801720776,0.7121112261423753,0.3779425883256528,0.6256723985890652,0.9952985992560824,True,True,archived_only,0.002951388888888889,1,0.701438316337027,0.3086974682257113,0.914969055096786,1.0,True,True,True,9
Meis2,NM_001159569,gene_body,ForeBrain,-0.965031655064818,0.0001041130322518,0.0253893826377761,-0.9033878818052475,0.002094223123249509,-0.9271375557835614,0.0009149786990058207,-0.9033878818052475,0.002094223123249509,-0.9047619047619048,0.005140845457154881,0.9903610845961943,0.17107560297382174,0.7138042561905769,-0.663292261848615,0.07295626546784004,-0.27261541949250756,0.513607121819355,-0.9772156724645666,-0.8665613022045131,1.0,0.2998805543806894,0.10243785829629037,8,152.0,140.0,1647.5,0.0,152.0,0.0036706349206349206,0.9901537698412698,0.6888144841269841,0.3433914060833611,0.16728590738333968,0.35635484205781515,0.9995194125431662,0.9735495010699491,0.3839353354978355,0.999793588100875,0.9997015587246041,True,True,archived_only,0.0036706349206349206,1,-0.5651231894121242,-0.8389433780181681,-0.055600688972577667,0.985,False,False,True,6
Arvcf,NM_033474,gene_body,ForeBrain,-0.981803809547211,1.48571532866697e-05,0.0187017672181655,-0.8848928893854517,0.003491237069226456,-0.9301966814172764,0.0008063987900444553,-0.8996038557601369,0.002343164755846164,-0.8982196964349443,-0.1694140951534428,0.6883742093396439,-0.4567089921408984,0.3029305096621416,-0.8388979029932163,0.009230750316430305,0.38116745209211744,0.35151790364663904,-0.9261875147221972,-0.8403111879537424,1.0,0.6211216230212127,0.9816754909662408,8,215.0,210.0,2037.5,18.0,197.0,0.008680555555555556,0.786780753968254,0.3947172619047619,0.3635882027487626,0.16728590738333968,0.35635484205781515,0.9546174026515182,0.8727132363876282,0.44220579625292744,0.9995570426160224,0.9974398198634841,True,True,archived_only,0.008680555555555556,1,-0.783529450552618,-0.9343728176367798,-0.598202713452343,1.0,True,True,True,10
