tissue,isoform_id,stage,replicate,rna_sample,rep_if,expression
ForeBrain,NM_001001144,0,1,0_1,0.7785,6.71684193080989
ForeBrain,NM_001001144,0,2,0_2,0.8662,7.97079034512964
ForeBrain,NM_001001144,10.5,1,10.5_1,0.5044,3.76967983894809
ForeBrain,NM_001001144,10.5,2,10.5_2,0.4403,3.22330407013607
ForeBrain,NM_001001144,11.5,1,11.5_1,0.7195,2.90741031703529
ForeBrain,NM_001001144,11.5,2,11.5_2,0.7497,2.95481377189422
ForeBrain,NM_001001144,12.5,1,12.5_1,0.8308,7.08221935619538
ForeBrain,NM_001001144,12.5,2,12.5_2,0.8079,6.24849739707203
ForeBrain,NM_001001144,13.5,1,13.5_1,0.8107,6.32473592059339
ForeBrain,NM_001001144,13.5,2,13.5_2,0.8277,6.60759914825617
ForeBrain,NM_001001144,14.5,1,14.5_1,0.8597,7.97029271184796
ForeBrain,NM_001001144,14.5,2,14.5_2,0.8898,8.84334879347687
ForeBrain,NM_001001144,15.5,1,15.5_1,0.8614,9.30266422156977
ForeBrain,NM_001001144,15.5,2,15.5_2,0.7941,9.42469214363566
ForeBrain,NM_001001144,16.5,1,16.5_1,0.7629,8.45431235158184
ForeBrain,NM_001001144,16.5,2,16.5_2,0.8412,8.45371273090906
ForeBrain,NM_001001176,0,1,0_1,0.251,2.23314440569851
ForeBrain,NM_001001176,0,2,0_2,0.2722,2.46993263636054
ForeBrain,NM_001001176,10.5,1,10.5_1,0.5167,2.1575532325932
ForeBrain,NM_001001176,10.5,2,10.5_2,0.1135,0.411720867220612
ForeBrain,NM_001001176,11.5,1,11.5_1,0.3507,1.81443128142483
ForeBrain,NM_001001176,11.5,2,11.5_2,0.2571,1.753801006585
ForeBrain,NM_001001176,12.5,1,12.5_1,0.2014,1.03374370884085
ForeBrain,NM_001001176,12.5,2,12.5_2,0.2438,1.27411149825911
ForeBrain,NM_001001176,13.5,1,13.5_1,0.4528,2.56639488970425
ForeBrain,NM_001001176,13.5,2,13.5_2,0.3137,1.81225861404914
ForeBrain,NM_001001176,14.5,1,14.5_1,0.4875,3.58458962449635
ForeBrain,NM_001001176,14.5,2,14.5_2,0.3065,2.6484614789879
ForeBrain,NM_001001176,15.5,1,15.5_1,0.4527,2.89192992646815
ForeBrain,NM_001001176,15.5,2,15.5_2,0.5678,3.76065311643715
ForeBrain,NM_001001176,16.5,1,16.5_1,0.1867,1.53947231891346
ForeBrain,NM_001001176,16.5,2,16.5_2,0.4539,3.78709252815524
ForeBrain,NM_001001297,0,1,0_1,0.1026,0.405802320578762
ForeBrain,NM_001001297,0,2,0_2,0.0743,0.259172324870419
ForeBrain,NM_001001297,10.5,1,10.5_1,0.1725,0.563082079909845
ForeBrain,NM_001001297,10.5,2,10.5_2,0.0714,0.21900601633639
ForeBrain,NM_001001297,11.5,1,11.5_1,0.1876,0.753992694443564
ForeBrain,NM_001001297,11.5,2,11.5_2,0.2652,0.968479587453592
ForeBrain,NM_001001297,12.5,1,12.5_1,0.0681,0.233325311554349
ForeBrain,NM_001001297,12.5,2,12.5_2,0.1063,0.464325311560413
ForeBrain,NM_001001297,13.5,1,13.5_1,0.181,0.867600773542029
ForeBrain,NM_001001297,13.5,2,13.5_2,0.1059,0.507042544057765
ForeBrain,NM_001001297,14.5,1,14.5_1,0.0817,0.406270734854991
ForeBrain,NM_001001297,14.5,2,14.5_2,0.1332,0.764585732728282
ForeBrain,NM_001001297,15.5,1,15.5_1,0.1,0.46910055866344
ForeBrain,NM_001001297,15.5,2,15.5_2,0.1674,0.828832402213916
ForeBrain,NM_001001297,16.5,1,16.5_1,0.0282,0.139899871069968
ForeBrain,NM_001001297,16.5,2,16.5_2,0.0488,0.252477438768162
ForeBrain,NM_001001326,0,1,0_1,0,0
ForeBrain,NM_001001326,0,2,0_2,0.2184,0.70387285543319
ForeBrain,NM_001001326,10.5,1,10.5_1,0.4241,2.5456601644156
ForeBrain,NM_001001326,10.5,2,10.5_2,0.4069,2.63295816693887
ForeBrain,NM_001001326,11.5,1,11.5_1,0.1484,0.884609635707641
ForeBrain,NM_001001326,11.5,2,11.5_2,0.2331,1.08965546416199
ForeBrain,NM_001001326,12.5,1,12.5_1,0.4795,2.78081339593796
ForeBrain,NM_001001326,12.5,2,12.5_2,0.2698,2.00639858989625
ForeBrain,NM_001001326,13.5,1,13.5_1,0.1789,0.702723619282689
ForeBrain,NM_001001326,13.5,2,13.5_2,0,0
ForeBrain,NM_001001326,14.5,1,14.5_1,0.1995,0.739514453589935
ForeBrain,NM_001001326,14.5,2,14.5_2,0.0878,0.316302467695514
ForeBrain,NM_001001326,15.5,1,15.5_1,0.379,1.31519083432441
ForeBrain,NM_001001326,15.5,2,15.5_2,0.333,1.34353137481953
ForeBrain,NM_001001326,16.5,1,16.5_1,0.5956,2.19860517025147
ForeBrain,NM_001001326,16.5,2,16.5_2,0.3807,1.16184582846386
ForeBrain,NM_001001333,0,1,0_1,0.4891,6.37073749991081
ForeBrain,NM_001001333,0,2,0_2,0.4348,5.0009319442244
ForeBrain,NM_001001333,10.5,1,10.5_1,0.5555,1.82160277770856
ForeBrain,NM_001001333,10.5,2,10.5_2,0.6941,1.58121851856437
ForeBrain,NM_001001333,11.5,1,11.5_1,0.6641,1.61481759256514
ForeBrain,NM_001001333,11.5,2,11.5_2,0.5992,1.78950370370728
ForeBrain,NM_001001333,12.5,1,12.5_1,0.6675,3.04644583326022
ForeBrain,NM_001001333,12.5,2,12.5_2,0.6915,2.87139305555843
ForeBrain,NM_001001333,13.5,1,13.5_1,0.4593,3.48086203709273
ForeBrain,NM_001001333,13.5,2,13.5_2,0.5497,3.56675370377147
ForeBrain,NM_001001333,14.5,1,14.5_1,0.4163,4.06946250003256
ForeBrain,NM_001001333,14.5,2,14.5_2,0.3958,4.51562037051939
ForeBrain,NM_001001333,15.5,1,15.5_1,0.4042,4.93532731485923
ForeBrain,NM_001001333,15.5,2,15.5_2,0.4323,5.40830324060553
ForeBrain,NM_001001333,16.5,1,16.5_1,0.4653,5.78909583297441
ForeBrain,NM_001001333,16.5,2,16.5_2,0.4042,5.7267601853169
ForeBrain,NM_001001447,0,1,0_1,0,0
ForeBrain,NM_001001447,0,2,0_2,0,0
ForeBrain,NM_001001447,10.5,1,10.5_1,0.1799,0.698093659915835
ForeBrain,NM_001001447,10.5,2,10.5_2,0.1221,0.591544092236175
ForeBrain,NM_001001447,11.5,1,11.5_1,0.133,0.68761037462808
ForeBrain,NM_001001447,11.5,2,11.5_2,0.0469,0.236519884726698
ForeBrain,NM_001001447,12.5,1,12.5_1,0.0416,0.146452449564208
ForeBrain,NM_001001447,12.5,2,12.5_2,0,0
ForeBrain,NM_001001447,13.5,1,13.5_1,0,0
ForeBrain,NM_001001447,13.5,2,13.5_2,0.0252,0.0732031700302093
ForeBrain,NM_001001447,14.5,1,14.5_1,0.0876,0.252643804036603
ForeBrain,NM_001001447,14.5,2,14.5_2,0.0581,0.210070028825376
ForeBrain,NM_001001447,15.5,1,15.5_1,0,0
