tissue,gene_id,region,region_key,stage,replicate,sample_id,original_width,analysed_width,n_cpg,mean_unweighted,mean_weighted,total_coverage,n_cpg_strand_sensitive,mean_unweighted_strand_sensitive,mean_weighted_strand_sensitive,total_coverage_strand_sensitive,region_index
ForeBrain,1600020E01Rik,upstream,1600020E01Rik_upstream,10.5,1,ENCFF288JMC,2000,6000,130,0.246153846153846,0.578947368421053,1406,6,2.83333333333333,3.50381679389313,131,1
ForeBrain,1600020E01Rik,upstream,1600020E01Rik_upstream,10.5,2,ENCFF461PTM,2000,6000,128,0.609375,1.11341059602649,1208,6,5.66666666666667,10.2790697674419,86,1
ForeBrain,1600020E01Rik,upstream,1600020E01Rik_upstream,11.5,1,ENCFF890XTY,2000,6000,130,0.4,0.390087929656275,1251,6,2.16666666666667,2.18248175182482,137,1
ForeBrain,1600020E01Rik,upstream,1600020E01Rik_upstream,11.5,2,ENCFF232QBX,2000,6000,123,0.560975609756098,0.678102926337033,991,6,3.83333333333333,4.94805194805195,77,1
ForeBrain,1600020E01Rik,upstream,1600020E01Rik_upstream,12.5,1,ENCFF535JWX,2000,6000,130,0.269230769230769,0.507079646017699,1130,6,2.33333333333333,3.34513274336283,113,1
ForeBrain,1600020E01Rik,upstream,1600020E01Rik_upstream,12.5,2,ENCFF667LWJ,2000,6000,129,0.922480620155039,1.2765306122449,980,6,2.83333333333333,3.44444444444444,135,1
ForeBrain,1600020E01Rik,upstream,1600020E01Rik_upstream,13.5,1,ENCFF673PJA,2000,6000,122,0.418032786885246,0.68205666316894,953,6,2.16666666666667,2.86315789473684,95,1
ForeBrain,1600020E01Rik,upstream,1600020E01Rik_upstream,13.5,2,ENCFF320IBB,2000,6000,130,0.276923076923077,0.662857142857143,875,6,4,4.13675213675214,117,1
ForeBrain,1600020E01Rik,upstream,1600020E01Rik_upstream,14.5,1,ENCFF667IZN,2000,6000,130,0.784615384615385,0.841359773371105,1059,6,1.5,1.50375939849624,133,1
ForeBrain,1600020E01Rik,upstream,1600020E01Rik_upstream,14.5,2,ENCFF948AII,2000,6000,128,0.2734375,0.483555555555556,1125,6,0.833333333333333,0.849056603773585,106,1
ForeBrain,1600020E01Rik,upstream,1600020E01Rik_upstream,15.5,1,ENCFF331SNN,2000,6000,105,0.361904761904762,0.398822663723326,1359,6,2,1.85507246376812,138,1
ForeBrain,1600020E01Rik,upstream,1600020E01Rik_upstream,15.5,2,ENCFF566THP,2000,6000,130,0.461538461538462,0.427312775330396,1362,6,1.83333333333333,2,98,1
ForeBrain,1600020E01Rik,upstream,1600020E01Rik_upstream,16.5,1,ENCFF457SPJ,2000,6000,130,0.169230769230769,0.434362934362934,1036,6,1.33333333333333,2.35897435897436,78,1
ForeBrain,1600020E01Rik,upstream,1600020E01Rik_upstream,16.5,2,ENCFF480MYA,2000,6000,130,0.261538461538462,0.656215005599104,893,6,3.5,3.99,100,1
