gene_id,isoform_id,region,tissue,archived_r,archived_p,archived_q,raw_weighted_r,raw_weighted_p,raw_unweighted_r,raw_unweighted_p,strand_sensitive_r,strand_sensitive_p,spearman_rho,linear_detrended_r,linear_detrended_p,first_difference_r,first_difference_p,isoform_absolute_expression_r,isoform_absolute_expression_p,gene_total_expression_r,gene_total_expression_p,loo_min_r,loo_max_r,loo_same_sign_fraction,methylation_replicate_reliability,usage_replicate_reliability,n_complete_stages,median_cpg,min_cpg,median_coverage,strand_cpg_gain,strand_sensitive_cpg,raw_weighted_exact_permutation_p,detrended_exact_permutation_p,difference_exact_permutation_p,raw_global_q,unweighted_global_q,strand_sensitive_global_q,detrended_global_q,difference_global_q,raw_weighted_exact_global_q,detrended_exact_global_q,difference_exact_global_q,archived_sign_reproduced,raw_nominal_reproduced
1110020A21Rik,NR_027929,gene_body,ForeBrain,-0.121954118500034,0.773593161787582,0.891201913890998,0.1771615839381555,0.6747071268013112,-0.02430876128881609,0.9544390249416015,0.13089060382004278,0.7573687904081754,0.6190476190476191,0.18226842935800794,0.6657403593929502,-0.0765305413713495,0.8704578557524623,0.22398382276457884,0.5938651639801891,0.677497064472779,0.06488242963680961,0.06451228691165965,0.7323403494017096,1.0,0.7031761357541451,-0.11454267029401358,8,88.0,79.0,735.5,52.0,36.0,0.7037946428571429,0.7203869047619048,0.8825644841269841,0.947868605503735,0.9907134158907376,0.9665382607571644,0.9492084792085203,0.9869364908754115,0.9571675574991901,0.9947586103061309,0.9997015587246041,False,False
1110020A21Rik,NR_027930,gene_body,ForeBrain,0.121954118500034,0.773593161787581,0.891201913890998,-0.17716158393815545,0.6747071268013114,0.024308761288815938,0.9544390249416018,-0.1308906038200425,0.7573687904081758,-0.6190476190476191,-0.1822684293580075,0.665740359392951,0.07653054137134953,0.8704578557524623,0.6379575298049099,0.0887554980903921,0.677497064472779,0.06488242963680961,-0.7323403494017094,-0.06451228691165964,1.0,0.7031761357541451,-0.11454267029401374,8,88.0,79.0,735.5,52.0,36.0,0.7037946428571429,0.7203869047619048,0.8825644841269841,0.947868605503735,0.9907134158907376,0.9665382607571644,0.9492084792085203,0.9869364908754115,0.9571675574991901,0.9947586103061309,0.9997015587246041,False,False
1500011B03Rik,NR_027817,gene_body,ForeBrain,0.399126349897825,0.327316800364575,0.59286111882375,0.03564703557566732,0.9332184080675622,0.4339467577747451,0.2827248561170092,0.03564703557566732,0.9332184080675622,0.23809523809523808,0.1518943559512045,0.7195483752352818,0.06464628392293592,0.8904822400487747,0.11516525822109948,0.7859668452035439,0.08994264123087026,0.8322648492393703,-0.13105380181545684,0.2347265094009809,0.625,0.6047884344372306,0.988536519727535,8,46.0,44.0,501.0,0.0,46.0,0.9283730158730159,0.7525545634920635,0.9010912698412699,0.9866412692716315,0.7535533687532187,0.9887516574480868,0.9633144589732886,0.99129695063131,0.9897893051148096,0.9978413014379355,0.9997015587246041,True,False
1500011B03Rik,NR_027818,gene_body,ForeBrain,-0.399126349897825,0.327316800364575,0.59286111882375,-0.035647035575667306,0.9332184080675622,-0.43394675777474506,0.2827248561170092,-0.035647035575667306,0.9332184080675622,-0.23809523809523808,-0.15189435595120465,0.7195483752352816,-0.06464628392293599,0.8904822400487746,0.03598552971817849,0.9325853588518278,0.08994264123087026,0.8322648492393703,-0.2347265094009809,0.131053801815457,0.625,0.6047884344372306,0.9885365197275349,8,46.0,44.0,501.0,0.0,46.0,0.9283730158730159,0.7525545634920635,0.9010912698412699,0.9866412692716315,0.7535533687532187,0.9887516574480868,0.9633144589732886,0.99129695063131,0.9897893051148096,0.9978413014379355,0.9997015587246041,True,False
1600020E01Rik,NR_037960,gene_body,ForeBrain,-0.12889058551582,0.760993351893978,0.888379445493133,-0.27616259944819194,0.5079199623211399,0.2851095090803875,0.49368298174166625,-0.34888609077361027,0.39698382713841,-0.2857142857142857,-0.28121138201472295,0.4998668770160888,-0.09116230078917176,0.8458803486196802,-0.1955021059185069,0.6426668270800281,-0.13959878573795778,0.7416329908660646,-0.3873031154800065,0.15777588590923267,0.875,0.14863313504156428,0.6733192319397061,8,102.0,77.0,735.5,92.0,10.0,0.5420138888888889,0.5987103174603174,0.8250744047619047,0.8952364360757328,0.857687115044176,0.8711065188827984,0.9218629361925063,0.984630355860712,0.9081649018220094,0.9891895816226394,0.9997015587246041,True,False
1600020E01Rik,NR_037960,upstream,ForeBrain,-0.127783340634194,0.763001611056357,0.888379445493133,-0.2893518370500079,0.4869869868759773,0.03392258826787632,0.9364439253361467,-0.695014543065694,0.055688441355406994,-0.2619047619047619,-0.26822672977777395,0.520676395935701,0.036864044929035,0.9374601683378952,-0.24885142920347614,0.552308983335807,-0.21801599173847994,0.6039884530616362,-0.6711413909682479,-0.05618213371757171,1.0,-0.2677569428774095,0.6733192319397061,8,130.0,105.0,1080.5,124.0,6.0,0.47259424603174605,0.5533730158730159,0.9258680555555555,0.892353702645173,0.9865349690207611,0.5866541111092137,0.9231745350917396,0.9950815312020279,0.8927728684597048,0.9891895816226394,0.9997015587246041,True,False
1600020E01Rik,NR_037961,gene_body,ForeBrain,0.12889058551582,0.760993351893978,0.888379445493133,0.276162599448192,0.5079199623211398,-0.28510950908038774,0.493682981741666,0.34888609077361016,0.39698382713841035,0.2857142857142857,0.28121138201472246,0.49986687701608956,0.09116230078917197,0.8458803486196799,0.3707737537864049,0.36588581631248657,-0.13959878573795778,0.7416329908660646,-0.1577758859092328,0.3873031154800067,0.875,0.14863313504156428,0.6733192319397059,8,102.0,77.0,735.5,92.0,10.0,0.5420138888888889,0.5987103174603174,0.8250744047619047,0.8952364360757328,0.857687115044176,0.8711065188827984,0.9218629361925063,0.984630355860712,0.9081649018220094,0.9891895816226394,0.9997015587246041,True,False
1600020E01Rik,NR_037961,upstream,ForeBrain,0.127783340634194,0.763001611056357,0.888379445493133,0.28935183705000767,0.4869869868759775,-0.03392258826787651,0.9364439253361463,0.695014543065694,0.055688441355406994,0.2619047619047619,0.26822672977777284,0.5206763959357029,-0.03686404492903582,0.9374601683378939,0.25468239471576676,0.5427180642489066,-0.21801599173847994,0.6039884530616362,0.05618213371757132,0.6711413909682477,1.0,-0.2677569428774095,0.6733192319397059,8,130.0,105.0,1080.5,124.0,6.0,0.47259424603174605,0.5533730158730159,0.9258680555555555,0.892353702645173,0.9865349690207611,0.5866541111092137,0.9231745350917396,0.9950815312020279,0.8927728684597048,0.9891895816226394,0.9997015587246041,True,False
2010111I01Rik,NM_001289924,gene_body,ForeBrain,-0.210434264099314,0.61692922594994,0.807169553334826,-0.29534215986099704,0.4775930384273478,-0.15133107030062373,0.7205565391362367,-0.3065988611949271,0.4601376210035284,-0.2857142857142857,-0.11827389445986256,0.7802958933869876,0.15070852571375298,0.7470449108813533,0.6480804388686845,0.08222588878780195,0.7842302052317361,0.021225059062209534,-0.5590080409925603,0.043836060714772605,0.875,0.4652599357133725,0.21402739094672416,8,211.0,210.0,2701.5,69.0,142.0,0.470014880952381,0.7964781746031746,0.7698660714285714,0.887031435684103,0.9310000385697167,0.8905066689305264,0.975365612672304,0.9757460938758865,0.8927728684597048,0.9995570426160224,0.9997015587246041,True,False
2010111I01Rik,NM_001289926,gene_body,ForeBrain,-0.869299284455299,0.0050489396054627,0.0888116753551075,-0.9149324998329045,0.0014424561388167265,-0.9591158848867953,0.00016564978885966195,-0.6641352806029024,0.07246148340152106,-0.9285714285714286,-0.030912166850457033,0.9420765996879639,0.12443250323225705,0.7903884027688436,-0.29359731958246765,0.48032183933400274,0.7842302052317361,0.021225059062209534,-0.9548189769169223,-0.8941482173090145,1.0,0.4652599357133725,0.7795763728698317,8,211.0,210.0,2701.5,69.0,142.0,0.0021329365079365077,0.9453125,0.804265873015873,0.3433914060833611,0.13440395587104934,0.6232591263396436,0.9947109535266051,0.9799185452335419,0.3661318824404762,0.9995570426160224,0.9997015587246041,True,True
