gene_id,isoform_id,region,tissue,transform,reported_exact_p,independent_exact_p,absolute_discrepancy,within_tolerance
Cdkl3,NM_001166654,downstream,ForeBrain,detrended,0.0001488095238095,0.00014880952380952382,2.382534274036896e-17,True
Cdkl3,NM_001166654,downstream,ForeBrain,first_difference,4.96031746031746e-05,4.96031746031746e-05,0.0,True
Exoc7,NM_001162872,downstream,ForeBrain,detrended,2.48015873015873e-05,2.48015873015873e-05,0.0,True
Exoc7,NM_001162872,downstream,ForeBrain,first_difference,2.48015873015873e-05,2.48015873015873e-05,0.0,True
Exoc7,NM_016857,downstream,ForeBrain,detrended,2.48015873015873e-05,2.48015873015873e-05,0.0,True
Exoc7,NM_016857,downstream,ForeBrain,first_difference,2.48015873015873e-05,2.48015873015873e-05,0.0,True
Golm1,NM_001035122,downstream,MidBrain,detrended,0.000297619047619,0.00029761904761904765,4.765068548073792e-17,True
Golm1,NM_001035122,downstream,MidBrain,first_difference,0.0002232142857142,0.0002232142857142857,8.570618173497913e-17,True
Golm1,NM_027307,downstream,MidBrain,detrended,0.000297619047619,0.00029761904761904765,4.765068548073792e-17,True
Golm1,NM_027307,downstream,MidBrain,first_difference,0.0002232142857142,0.0002232142857142857,8.570618173497913e-17,True
Rbbp6,NM_011247,gene_body,MidBrain,detrended,0.0010416666666666,0.0010416666666666667,6.657001339060997e-17,True
Rbbp6,NM_011247,gene_body,MidBrain,first_difference,0.0008432539682539,0.0008432539682539683,6.830473686658678e-17,True
Rbbp6,NM_175023,gene_body,MidBrain,detrended,0.0010416666666666,0.0010416666666666667,6.657001339060997e-17,True
Rbbp6,NM_175023,gene_body,MidBrain,first_difference,0.0008432539682539,0.0008432539682539683,6.830473686658678e-17,True
