assay,region,stage,encode_accession,accession_level,thesis_source
polyA_plus_RNA-seq,forebrain,E10.5,ENCSR304RDL,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,forebrain,E11.5,ENCSR160IIN,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,forebrain,E12.5,ENCSR647QBV,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,forebrain,E13.5,ENCSR970EWM,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,forebrain,E14.5,ENCSR185LWM,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,forebrain,E15.5,ENCSR752RGN,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,forebrain,E16.5,ENCSR080EVZ,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,forebrain,P0,ENCSR362AIZ,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,midbrain,E10.5,ENCSR764OPZ,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,midbrain,E11.5,ENCSR307BCA,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,midbrain,E12.5,ENCSR908JWT,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,midbrain,E13.5,ENCSR792RJV,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,midbrain,E14.5,ENCSR343YLB,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,midbrain,E15.5,ENCSR557RMA,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,midbrain,E16.5,ENCSR367ZPZ,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,midbrain,P0,ENCSR719NAJ,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,hindbrain,E10.5,ENCSR943LKA,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,hindbrain,E11.5,ENCSR760TOE,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,hindbrain,E12.5,ENCSR420QTO,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,hindbrain,E13.5,ENCSR921PRX,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,hindbrain,E14.5,ENCSR559TRB,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,hindbrain,E15.5,ENCSR401BSG,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,hindbrain,E16.5,ENCSR285WZV,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,hindbrain,P0,ENCSR017JEG,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
