assay,region,stage,replicate,encode_accession,accession_level,thesis_source
polyA_plus_RNA-seq,forebrain,E10.5,,ENCSR304RDL,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,forebrain,E11.5,,ENCSR160IIN,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,forebrain,E12.5,,ENCSR647QBV,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,forebrain,E13.5,,ENCSR970EWM,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,forebrain,E14.5,,ENCSR185LWM,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,forebrain,E15.5,,ENCSR752RGN,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,forebrain,E16.5,,ENCSR080EVZ,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,forebrain,P0,,ENCSR362AIZ,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,midbrain,E10.5,,ENCSR764OPZ,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,midbrain,E11.5,,ENCSR307BCA,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,midbrain,E12.5,,ENCSR908JWT,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,midbrain,E13.5,,ENCSR792RJV,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,midbrain,E14.5,,ENCSR343YLB,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,midbrain,E15.5,,ENCSR557RMA,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,midbrain,E16.5,,ENCSR367ZPZ,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
polyA_plus_RNA-seq,midbrain,P0,,ENCSR719NAJ,experiment,Appendix2/appendix2.tex RNA-seq Data Sources
WGBS,forebrain,E10.5,1,ENCFF288JMC,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,forebrain,E10.5,2,ENCFF461PTM,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,forebrain,E11.5,1,ENCFF890XTY,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,forebrain,E11.5,2,ENCFF232QBX,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,forebrain,E12.5,1,ENCFF535JWX,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,forebrain,E12.5,2,ENCFF667LWJ,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,forebrain,E13.5,1,ENCFF673PJA,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,forebrain,E13.5,2,ENCFF320IBB,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,forebrain,E14.5,1,ENCFF667IZN,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,forebrain,E14.5,2,ENCFF948AII,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,forebrain,E15.5,1,ENCFF331SNN,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,forebrain,E15.5,2,ENCFF566THP,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,forebrain,E16.5,1,ENCFF457SPJ,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,forebrain,E16.5,2,ENCFF480MYA,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,forebrain,P0,1,ENCFF486VKI,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,forebrain,P0,2,ENCFF784IJC,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,midbrain,E10.5,1,ENCFF192LFV,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,midbrain,E10.5,2,ENCFF724ZCI,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,midbrain,E11.5,1,ENCFF943IBD,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,midbrain,E11.5,2,ENCFF580ZKC,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,midbrain,E12.5,1,ENCFF910CHR,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,midbrain,E12.5,2,ENCFF147HUB,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,midbrain,E13.5,1,ENCFF376OQK,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,midbrain,E13.5,2,ENCFF323DLV,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,midbrain,E14.5,1,ENCFF496WRJ,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,midbrain,E14.5,2,ENCFF499EUN,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,midbrain,E15.5,1,ENCFF354OEF,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,midbrain,E15.5,2,ENCFF678MHU,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,midbrain,E16.5,1,ENCFF451ZEE,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,midbrain,E16.5,2,ENCFF529OUU,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,midbrain,P0,1,ENCFF415LLK,file,Appendix2/appendix2.tex WGBS Data Sources
WGBS,midbrain,P0,2,ENCFF733TCH,file,Appendix2/appendix2.tex WGBS Data Sources
