"metric","value"
"common_isoforms_before_filtering",28931
"isoforms_passing_expression_filter",26036
"isoforms_tested_in_multi_isoform_genes",12517
"multi_isoform_genes_tested",4577
"samples",48
"region_stage_cells",24
"design_rank",24
"design_residual_df",24
"noninteger_count_fraction",0.83486957737477
"fit_warning_count",9
"fit_nonconvergence_warning_count",9
"test_warning_count",0
"fit_error_models",0
"invalid_empirical_p_values_replaced_with_1",177
"invalid_empirical_fdr_values_replaced_with_1",177
"genes_with_any_nonfinite_transcript_test",80
"genes_with_all_transcript_tests_nonfinite",80
"significant_genes_with_any_nonfinite_transcript_test",0
"candidate_nonfinite_transcript_tests",0
"transcripts_empirical_fdr_lt_0_05",914
"genes_dexseq_style_per_gene_q_lt_0_05",429
"significant_genes_in_primary_shared_core",322
"significant_genes_in_primary_midbrain_only",60
"Ppp2r3a_gene_q_value",1.26179328219705e-05
"Rtn2_gene_q_value",0.00181631829368311
