quantity,value
all_tests,11002
archived_fdr_rows,131
reconstructed_parametric_global_fdr_rows,3
overlap_between_fdr_sets,0
reconstructed_parametric_global_fdr_genes,2
reconstructed_stage_randomisation_global_fdr_rows,0
reconstructed_stage_randomisation_nominal_rows,938
detrended_parametric_global_fdr_rows,7
detrended_stage_randomisation_nominal_rows,548
detrended_stage_randomisation_global_fdr_rows,0
difference_parametric_global_fdr_rows,1
difference_stage_randomisation_nominal_rows,523
difference_stage_randomisation_global_fdr_rows,0
unweighted_global_fdr_rows,0
strand_sensitive_global_fdr_rows,0
targeted_union_rows,134
targeted_archived_hit_rows,131
targeted_reconstructed_only_rows,3
archived_hits_raw_sign_reproduced,105
archived_hits_raw_nominal_same_sign,57
archived_hits_leave_one_stage_out_same_sign,97
archived_hits_detrended_same_sign,71
archived_hits_first_difference_same_sign,68
archived_hits_circular_shift_strongest,62
archived_hits_bootstrap_interval_excludes_zero,68
archived_hits_stage_randomisation_p_lt_0.05,57
targeted_union_leave_one_stage_out_same_sign,100
targeted_union_detrended_same_sign,74
targeted_union_first_difference_same_sign,71
targeted_union_circular_shift_strongest,65
targeted_union_bootstrap_interval_excludes_zero,71
targeted_union_stage_randomisation_p_lt_0.05,60
