"gene","accession","chromosome","strand","start_1based","end_1based","width_nt","transcript_exon_rank_5to3","segment_location","segment_key","coordinate_status","calibrated_scan_rank","expected_direction","paired_accession"
"Scg3","NM_009130","chr9","-",75663193,75663207,15,"9","internal_exon_segment","chr9:75663193:75663207:-","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",1,"higher","NM_001164790"
"Gpm6a","NM_001253754","chr8","+",54779434,54779650,217,"1","5prime_terminal_exon_segment","chr8:54779434:54779650:+","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",2,"higher","NM_153581"
"Ntrk2","NM_008745","chr13","+",58806569,58806852,284,"1","5prime_terminal_exon_segment","chr13:58806569:58806852:+","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",3,"higher","NM_001025074"
"Ntrk2","NM_008745","chr13","+",58932023,58937031,5009,"13","3prime_terminal_exon_segment","chr13:58932023:58937031:+","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",3,"higher","NM_001025074"
"Ntrk2","NM_001025074","chr13","+",58807697,58808013,317,"1","5prime_terminal_exon_segment","chr13:58807697:58808013:+","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",3,"lower","NM_008745"
"Ntrk2","NM_001025074","chr13","+",58985802,58985990,189,"13","internal_exon_segment","chr13:58985802:58985990:+","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",3,"lower","NM_008745"
"Ntrk2","NM_001025074","chr13","+",59037967,59038097,131,"14","internal_exon_segment","chr13:59037967:59038097:+","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",3,"lower","NM_008745"
"Ntrk2","NM_001025074","chr13","+",59054293,59054465,173,"15","internal_exon_segment","chr13:59054293:59054465:+","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",3,"lower","NM_008745"
"Ntrk2","NM_001025074","chr13","+",59060228,59060462,235,"16","internal_exon_segment","chr13:59060228:59060462:+","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",3,"lower","NM_008745"
"Ntrk2","NM_001025074","chr13","+",59126433,59126591,159,"17","internal_exon_segment","chr13:59126433:59126591:+","Archived-gene-unique exonic segment with missing genome/annotation version; revalidate sequence and specificity before oligo design",3,"lower","NM_008745"
