"gene_id","gene_name","n_higher","n_lower","mean_higher_length_nt","mean_lower_length_nt","higher_minus_lower_nt"
"1500011B03Rik","1500011B03Rik",1,1,603,1333,-730
"1700021K19Rik","1700021K19Rik",1,1,5298,5343,-45
"2010204K13Rik","2010204K13Rik",1,1,826,549,277
"2310045N01Rik","2310045N01Rik",1,1,2188,978,1210
"4931428F04Rik","4931428F04Rik",1,1,3553,3156,397
"Acly","Acly",1,1,4427,4397,30
"Acot7","Acot7",1,1,1505,1494,11
"Acsl1","Acsl1",1,1,3899,3897,2
"Adam15","Adam15",1,1,2842,2989,-147
"Add1","Add1",1,1,3917,4047,-130
"Adgrg1","Adgrg1",1,1,3605,3555,50
"Adk","Adk",1,1,1825,1782,43
"Aifm1","Aifm1",1,1,2237,2225,12
"Ambra1","Ambra1",1,1,5017,5290,-273
"Ampd2","Ampd2",2,1,3646,3453,193
"Amz2","Amz2",1,1,2997,2816,181
"Anapc11","Anapc11",1,1,3384,3229,155
"Anapc5","Anapc5",1,1,2722,2761,-39
"Ank2","Ank2",1,1,5770,5467,303
"Ank3","Ank3",3,1,8948.33333333333,6656,2292.33333333333
"Ankrd27","Ankrd27",1,1,4292,1929,2363
"Anks1","Anks1",1,1,5823,7029,-1206
"Ap1g1","Ap1g1",1,1,6866,6875,-9
"Ap1s2","Ap1s2",2,1,2772,2226,546
"Aplp2","Aplp2",2,1,3574,3526,48
"Apopt1","Apopt1",1,1,1061,684,377
"App","App",2,1,3328.5,3132,196.5
"Araf","Araf",1,1,2360,1571,789
"Arfgap1","Arfgap1",1,1,2721,2442,279
"Arhgap33","Arhgap33",1,1,4447,4420,27
"Arhgef40","Arhgef40",1,1,5622,5478,144
"Arhgef7","Arhgef7",1,2,4473,4789.5,-316.5
"Arhgef9","Arhgef9",1,1,5520,4696,824
"Arl2bp","Arl2bp",1,1,1933,2095,-162
"Armc8","Armc8",1,1,4628,3629,999
"Arvcf","Arvcf",1,3,4288,4572,-284
"Ascc1","Ascc1",1,1,1488,1475,13
"Asph","Asph",2,2,2604.5,2921,-316.5
"Atat1","Atat1",1,1,1442,1973,-531
"Atl2","Atl2",1,1,3618,3903,-285
"Atp13a2","Atp13a2",1,1,4327,4253,74
"Atp2a2","Atp2a2",1,2,4315,5113.5,-798.5
"Atp2c1","Atp2c1",1,1,4666,4872,-206
"Atp6v0a1","Atp6v0a1",2,1,3998.5,4006,-7.5
"B4galnt1","B4galnt1",1,1,2283,2474,-191
"Bad","Bad",1,1,941,1458,-517
"Bcar1","Bcar1",1,1,3118,3181,-63
"Bcat1","Bcat1",1,1,7852,7833,19
"Bicd1","Bicd1",1,1,9588,9664,-76
"Bicd2","Bicd2",1,1,4635,6352,-1717
"Bin1","Bin1",1,1,2122,2455,-333
"Bmp1","Bmp1",1,1,4454,3759,695
"Brsk2","Brsk2",1,1,4506,4141,365
"Bscl2","Bscl2",1,1,1962,1812,150
"Cacfd1","Cacfd1",1,1,1648,2205,-557
"Cacna2d1","Cacna2d1",1,1,7421,7436,-15
"Cacnb4","Cacnb4",1,2,8008,8008,0
"Cacul1","Cacul1",1,1,5790,5700,90
"Camk2a","Camk2a",2,1,4251.5,4956,-704.5
"Capzb","Capzb",1,1,1789,1676,113
"Cask","Cask",2,1,8308.5,8361,-52.5
"Ccdc9","Ccdc9",1,1,1979,2183,-204
"Cd99l2","Cd99l2",1,1,3531,3600,-69
"Cdc37l1","Cdc37l1",1,1,4074,2970,1104
"Cdc42","Cdc42",1,1,2147,1507,640
"Cdk10","Cdk10",1,1,1649,1611,38
"Celf2","Celf2",2,1,7661,7640,21
"Celsr2","Celsr2",1,1,10401,10543,-142
"Cep41","Cep41",1,1,534,3447,-2913
"Chtop","Chtop",2,3,3079.5,2726.66666666667,352.833333333333
"Clasp1","Clasp1",1,1,7599,7875,-276
"Clasp2","Clasp2",1,1,6368,5689,679
"Clcn5","Clcn5",1,1,4170,3788,382
"Cldnd1","Cldnd1",1,2,2143,2190.5,-47.5
"Clip1","Clip1",1,1,5877,5649,228
"Clip2","Clip2",1,1,4893,4998,-105
"Clta","Clta",1,1,1080,1134,-54
"Commd6","Commd6",1,1,875,863,12
"Copg1","Copg1",1,1,4013,877,3136
"Crk","Crk",1,1,6005,5835,170
"Csnk1d","Csnk1d",1,1,3749,3686,63
"Ctnna2","Ctnna2",1,1,3986,4130,-144
"Cxadr","Cxadr",1,1,1753,5566,-3813
"Cyth2","Cyth2",1,1,2524,2527,-3
"Dab2ip","Dab2ip",1,1,6394,5388,1006
"Dcaf4","Dcaf4",1,1,2028,2085,-57
"Dclk1","Dclk1",1,1,6026,7803,-1777
"Dctn1","Dctn1",1,1,4115,4437,-322
"Dgkz","Dgkz",1,1,4090,3494,596
"Dhx57","Dhx57",1,1,5077,4918,159
"Dnaja1","Dnaja1",1,1,5575,5624,-49
"Dnajb4","Dnajb4",1,1,2548,2570,-22
"Dnajb6","Dnajb6",1,1,2708,1645,1063
"Dnm1","Dnm1",1,1,3809,3284,525
"Dnm2","Dnm2",1,1,3533,3542,-9
"Dnm3","Dnm3",1,1,4590,7519,-2929
"Dnmbp","Dnmbp",1,1,6113,3908,2205
"Dpp6","Dpp6",1,1,4615,4531,84
"Dpy30","Dpy30",1,1,710,704,6
"Dpysl3","Dpysl3",1,1,5484,5415,69
"Dusp22","Dusp22",1,1,1102,3058,-1956
"Dut","Dut",1,1,2263,2358,-95
"Dync1i2","Dync1i2",2,1,2523.5,2589,-65.5
"E130308A19Rik","E130308A19Rik",1,1,3720,3237,483
"Ece2","Ece2",1,1,984,3129,-2145
"Eef1d","Eef1d",1,1,1710,2855,-1145
"Egflam","Egflam",1,1,4864,4888,-24
"Eif4a2","Eif4a2",1,1,3185,2369,816
"Eif4g1","Eif4g1",1,1,5397,5439,-42
"Elavl4","Elavl4",1,1,3763,4008,-245
"Elmo1","Elmo1",1,1,5576,4102,1474
"Elmo2","Elmo2",1,1,4590,4626,-36
"Eml1","Eml1",1,1,3914,4160,-246
"Eml4","Eml4",1,1,5443,5107,336
"Ensa","Ensa",1,1,2276,1176,1100
"Epb4.1l5","Epb4.1l5",1,1,2788,6510,-3722
"Epc1","Epc1",1,1,834,3817,-2983
"Epha7","Epha7",1,1,6750,3272,3478
"Epn2","Epn2",1,1,4209,4245,-36
"Eps15","Eps15",1,1,5182,4233,949
"Evl","Evl",1,1,2183,2120,63
"Exoc1","Exoc1",1,1,3330,3396,-66
"Exoc7","Exoc7",1,1,3212,3344,-132
"Faim","Faim",1,1,1017,1074,-57
"Fam57b","Fam57b",1,2,1894,2057,-163
"Far1","Far1",1,1,4339,4339,0
"Fbrsl1","Fbrsl1",1,1,4722,3766,956
"Fchsd2","Fchsd2",1,1,4339,4411,-72
"Fez2","Fez2",1,1,1967,2048,-81
"Fgd4","Fgd4",1,1,8324,8344,-20
"Fgf12","Fgf12",1,1,5408,6250,-842
"Fgfr2","Fgfr2",1,1,4856,5198,-342
"Fhl1","Fhl1",2,1,2355.5,2686,-330.5
"Flot2","Flot2",1,1,2609,2700,-91
"Fnbp1l","Fnbp1l",1,1,5203,5377,-174
"Foxp2","Foxp2",1,1,6760,6360,400
"Frmd4a","Frmd4a",1,2,5816,6539,-723
"Fxr1","Fxr1",1,1,2325,2065,260
"G3bp2","G3bp2",1,1,4226,4325,-99
"Galk2","Galk2",1,1,2523,2629,-106
"Ganab","Ganab",1,1,3974,3908,66
"Gm2694","Gm2694",1,1,463,682,-219
"Gne","Gne",1,1,2818,5384,-2566
"Gopc","Gopc",1,1,4293,4317,-24
"Gp1bb","Gp1bb",1,1,1847,2085,-238
"Gpbp1","Gpbp1",1,1,3564,3624,-60
"Gpc6","Gpc6",1,1,6750,6780,-30
"Gpd2","Gpd2",1,1,5620,5745,-125
"Gphn","Gphn",1,1,3300,3291,9
"Gpm6a","Gpm6a",1,1,2966,3337,-371
"Gprasp1","Gprasp1",1,1,5878,5789,89
"Gpsm1","Gpsm1",1,1,3186,3366,-180
"Grip1","Grip1",1,2,5219,4479.5,739.5
"Gse1","Gse1",1,1,6569,6701,-132
"Gtf2i","Gtf2i",1,1,4349,4457,-108
"H2afy","H2afy",1,2,1950,1960.5,-10.5
"Hacd1","Hacd1",1,1,1008,886,122
"Hap1","Hap1",1,1,3706,3157,549
"Herc4","Herc4",1,1,4019,4043,-24
"Hexdc","Hexdc",1,1,2160,1965,195
"Hnrnpab","Hnrnpab",1,1,2545,2404,141
"Hnrnpk","Hnrnpk",1,1,2853,2721,132
"Hs6st2","Hs6st2",1,1,4313,4433,-120
"Igf2","Igf2",1,1,3701,3691,10
"Ikbkb","Ikbkb",1,1,3592,4534,-942
"Ilf3","Ilf3",1,1,3591,3552,39
"Immt","Immt",1,2,2527,2744.5,-217.5
